品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260123,20260127,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3813.00,58190,9.00,0.00,1,0.50,,,F
20260123,20260127,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3762.00,12779,60.00,0.00,1,0.00,,,F
20260123,20260127,1320,ｉＦ２２５年１,東証,決算,20260710,55710.00,7968,120.00,5.00,1,5.00,,,F
20260123,20260127,1321,ＮＦ日経２２５,東証,決算,20260708,55960.00,55783,120.00,5.00,1,5.00,,,F
20260123,20260127,1330,上場２２５,東証,決算,20260708,56000.00,5195,120.00,5.00,1,5.00,,,F
20260123,20260127,1346,ＭＸＳ２２５,東証,決算,20260716,55610.00,1674,120.00,5.00,1,5.00,,,F
20260123,20260127,1348,ＭＸＳトピクス,東証,決算,20260716,3764.00,92,60.00,0.00,1,*****,,,F
20260123,20260127,1358,上場日経２倍,東証,決算,20260710,93090.00,1223,400.00,5.00,1,5.00,,注意,D
20260123,20260127,135A,ＶＲＡＩＮ,東証,決算,20260228,2700.00,0,5.40,*****,*****,*****,満額,,
20260123,20260127,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3376.00,0,60.00,*****,*****,*****,満額,,
20260123,20260127,1365,ｉＦ２２５ダブル,東証,決算,20270110,75310.00,517,320.00,5.00,1,5.00,,注意,E
20260123,20260127,1367,ｉＦＴＰＸダブル,東証,決算,20270110,62280.00,0,140.00,*****,*****,*****,満額,,
20260123,20260127,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,54060.00,111,120.00,5.00,1,5.00,,,F
20260123,20260127,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54400.00,0,120.00,*****,*****,*****,満額,,
20260123,20260127,1418,インターライフＨＤ,東証,決算,20260228,616.00,19500,1.40,0.00,1,0.00,,,F
20260123,20260127,1419,タマホーム,東証,決算,20260228,3715.00,372600,15.20,0.20,1,0.20,,停止,C
20260123,20260127,141A,トライアル,東証,決算,20260630,3070.00,184600,6.20,0.10,1,0.05,,,F
20260123,20260127,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,641.00,10400,1.40,0.00,1,0.00,,,F
20260123,20260127,1433,ベステラ,東証,決算,20260131,1350.00,0,11.20,*****,*****,0.05,満額,停止,
20260123,20260127,1457,ｉＦＴＰＸベア,東証,決算,20270110,2068.00,0,60.00,*****,*****,*****,満額,,
20260123,20260127,1473,Ｏｎｅ・トピックス,東証,決算,20260708,3694.00,430,9.00,0.50,1,0.50,,,F
20260123,20260127,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,33050.00,42,90.00,0.00,1,0.00,,,E
20260123,20260127,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,53,100.00,5.00,1,5.00,,,D
20260123,20260127,147A,ソラコム,東証,決算,20260430,1145.00,39500,2.40,0.05,1,0.05,,,E
20260123,20260127,1486,上場米債ヘッジなし,東証,決算,20260710,24450.00,3,80.00,5.00,1,*****,,,F
20260123,20260127,1487,上場米債ヘッジあり,東証,決算,20260710,12365.00,0,70.00,*****,*****,*****,満額,,
20260123,20260127,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260410,9103.00,18,60.00,5.00,1,5.00,,,F
