品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20251230,20260106,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3579.00,47690,9.00,0.00,1,0.00,,,F
20251230,20260106,1320,ｉＦ２２５年１,東証,決算,20260710,52060.00,11496,120.00,5.00,1,5.00,,,F
20251230,20260106,1321,ＮＦ日経２２５,東証,決算,20260708,52320.00,72736,120.00,5.00,1,5.00,,,F
20251230,20260106,1329,ｉＳ２２５,東証,決算,20260209,5242.00,0,60.00,*****,*****,*****,満額,,
20251230,20260106,1330,上場２２５,東証,決算,20260708,52360.00,7659,120.00,5.00,1,5.00,,,F
20251230,20260106,1333,マルハニチロ,東証,決算,20260331,1286.00,0,2.60,*****,*****,*****,満額,,
20251230,20260106,1346,ＭＸＳ２２５,東証,決算,20260116,52360.00,1179,120.00,5.00,1,5.00,,,F
20251230,20260106,1358,上場日経２倍,東証,決算,20260710,81610.00,1191,360.00,5.00,1,5.00,,注意,E
20251230,20260106,135A,ＶＲＡＩＮ,東証,決算,20260228,3170.00,0,6.40,*****,*****,*****,満額,,
20251230,20260106,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3173.00,0,60.00,*****,*****,*****,満額,,
20251230,20260106,1365,ｉＦ２２５ダブル,東証,決算,20260110,66110.00,2205,280.00,5.00,1,5.00,,,D
20251230,20260106,1369,Ｏｎｅ・日経２２５,東証,決算,20260108,50890.00,299,240.00,5.00,1,5.00,,,F
20251230,20260106,1377,サカタのタネ,東証,決算,20260531,4270.00,0,8.60,*****,*****,*****,満額,,
20251230,20260106,1379,ホクト,東証,決算,20260331,2024.00,100,4.20,0.00,1,*****,,,F
20251230,20260106,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,50950.00,11,120.00,5.00,1,5.00,,,F
20251230,20260106,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2072.50,130,8.00,0.50,1,*****,,,F
20251230,20260106,1418,インターライフＨＤ,東証,決算,20260228,711.00,51000,1.60,0.05,1,0.05,,,F
20251230,20260106,1419,タマホーム,東証,決算,20260228,3580.00,292300,7.20,0.15,1,0.15,,,B
20251230,20260106,141A,トライアル,東証,決算,20260630,3100.00,541500,6.20,0.15,1,0.15,,,E
20251230,20260106,1429,日本アクア,東証,決算,20260630,863.00,0,1.80,*****,*****,*****,満額,,
20251230,20260106,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,655.00,0,1.40,*****,*****,*****,満額,,
20251230,20260106,1433,ベステラ,東証,決算,20260131,1304.00,4100,5.60,0.05,1,*****,,注意,F
20251230,20260106,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260108,31350.00,2,180.00,5.00,1,5.00,,,F
20251230,20260106,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260110,43540.00,54,200.00,5.00,1,5.00,,,C
20251230,20260106,147A,ソラコム,東証,決算,20260430,1239.00,42700,2.60,0.05,1,0.05,,,E
20251230,20260106,1482,ｉＳ米国債七十円へジ,東証,決算,20260111,1646.00,0,120.00,*****,*****,*****,満額,,
20251230,20260106,1487,上場米債ヘッジあり,東証,決算,20260110,12755.00,0,140.00,*****,*****,*****,満額,,
20251230,20260106,1493,Ｏｎｅ・中小型,東証,決算,20260108,22410.00,15,160.00,0.00,1,0.00,,,E
20251230,20260106,1494,Ｏｎｅ・高配当日本株,東証,決算,20260408,39730.00,21,90.00,0.00,1,0.00,,,F
20251230,20260106,1514,住石ホールディングス,東証,決算,20260331,530.00,152500,2.40,0.05,1,0.05,,注意,E
20251230,20260106,153A,カウリス,東証,決算,20260630,1175.00,25000,2.40,0.05,1,0.05,,,E
20251230,20260106,1545,ナスダックヘッジ無,東証,決算,20260810,40150.00,5121,100.00,0.00,1,0.00,,,F
20251230,20260106,1546,ダウヘッジ無,東証,決算,20260810,73600.00,73,160.00,0.00,1,0.00,,,F
20251230,20260106,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7201.00,0,60.00,*****,*****,*****,満額,,
20251230,20260106,1554,上場インデＭＳ世界,東証,決算,20260120,6045.00,0,60.00,*****,*****,*****,満額,,
20251230,20260106,155A,情報戦略テクノロジー,東証,決算,20260630,1332.00,4300,5.60,0.05,1,0.05,,注意,F
20251230,20260106,1569,トピックスインバース,東証,決算,20260220,923.20,0,6.00,*****,*****,*****,満額,,
20251230,20260106,1573,Ｈ株インバース,東証,決算,20261204,7850.00,980,32.00,0.50,1,0.50,,注意,D
20251230,20260106,1578,上場インデ２２５ミニ,東証,決算,20260108,4055.00,0,120.00,*****,*****,0.00,満額,,
20251230,20260106,1591,ＮＦＪＰＸ４００,東証,決算,20260407,30850.00,96,90.00,5.00,1,5.00,,,F
20251230,20260106,1593,ＭＸＳＪＰＸ４００,東証,決算,20260116,31880.00,10,90.00,5.00,1,5.00,,,F
20251230,20260106,1599,ｉＦＪＰＸ日経４００,東証,決算,20260110,31650.00,2,180.00,5.00,1,5.00,,,F
20251230,20260106,1617,ＮＦ食品Ｔ１７,東証,決算,20260715,41330.00,49,100.00,5.00,1,5.00,,,F
