"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/15","2026/01/19","1301","極洋","東証およびＰＴＳ",,"確報",0,0,3100,0,100,600,2500,0,0,15298500,0,493500,2961000,12337500,,,0,0,15500,0,0,3500,15.1,16.3,36.8,22.6,4.5,6.8,5.4
"2026/01/15","2026/01/19","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",0,90,10340,0,300,8580,1760,0,350820,40305320,0,1169400,33444840,6860480,,,0,0,365050,0,0,310800,57.1,186.5,46.6,74.6,70.9,33.1,45.2
"2026/01/15","2026/01/19","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",280,0,18200,17510,13720,85770,-67570,1079120,0,70142800,67483540,52876880,330557580,-260414780,,,0,0,537600,0,0,2459400,4.2,4.1,5,4.5,4.5,3.9,4.2
"2026/01/15","2026/01/19","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",300,0,7655,55,4026,16395,-8740,1141800,0,29134930,209330,15322956,62399370,-33264440,,,0,0,213295,0,0,590614,5.2,4.4,4.9,4.6,6.4,4.9,5.6
"2026/01/15","2026/01/19","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,1,0,0,0,0,0,0,56430,0,0,0,0,0,,,0,0,0,1060,0,0,8,0,4,8,0,0,0
"2026/01/15","2026/01/19","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",600,900,14900,0,0,0,14900,287400,431100,7137100,0,0,0,7137100,,,0,0,319200,0,0,0,28.8,26.7,31.2,28.8,0,0,0
"2026/01/15","2026/01/19","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",71,0,2241,0,0,558,1683,138379,0,4367709,0,0,1087542,3280167,,,0,0,45570,0,0,11718,19.3,43.3,31.6,36.5,2.4,13.4,4.1
"2026/01/15","2026/01/19","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,3,6,0,0,0
"2026/01/15","2026/01/19","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",30,0,1586,195,966,14816,-13230,1680000,0,88816000,10920000,54096000,829696000,-740880000,,,0,0,0,373440,3740880,0,14.8,157.3,11.8,22,15.3,13.3,14.2
"2026/01/15","2026/01/19","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",468,0,6027,30,13941,85280,-79253,26315640,0,338898210,1686900,783902430,4795294400,-4456396190,,,0,0,0,1445340,25789660,0,11.3,6.5,1.5,2.4,18.5,12.4,14.9
"2026/01/15","2026/01/19","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/15","2026/01/19","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,0,510,200,0,200,310,0,0,137700,54000,0,54000,83700,,,0,0,2499,0,0,0,3.7,8.1,25.1,12.2,1,1.4,1.2
"2026/01/15","2026/01/19","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",24,15,386,0,0,0,386,1610640,1006650,25904460,0,0,0,25904460,,,0,0,0,294060,0,0,8.1,34.9,4.7,8.3,1,1,1
"2026/01/15","2026/01/19","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",311,607,10507,0,0,100,10407,5412955,10564835,182874335,0,0,1740500,181133835,,,0,0,0,1674465,15500,0,12.3,17.6,9.3,12.2,0,0,0
"2026/01/15","2026/01/19","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",1183,4860,17803,0,752,2271,15532,6669754,27400680,100373314,0,4239776,12803898,87569416,,,0,0,0,579960,81621,0,4,11.6,9.4,10.4,12.8,0.8,1.5
"2026/01/15","2026/01/19","1330","上場２２５","東証およびＰＴＳ",,"確報",53,0,1573,161,4944,10042,-8469,2982310,0,88512710,9059470,278198880,565063340,-476550630,,,0,0,0,319200,3113250,0,5.8,15.4,10.3,12.4,6,4.9,5.4
"2026/01/15","2026/01/19","1332","ニッスイ","東証およびＰＴＳ",,"確報",6500,0,26400,0,1000,4600,21800,7507500,0,30492000,0,1155000,5313000,25179000,,,0,0,59700,0,0,16800,7,5,7.9,6.1,17,10.7,13.1
"2026/01/15","2026/01/19","1333","マルハニチロ","東証およびＰＴＳ",,"確報",900,15100,11200,100,16300,9200,2000,1215000,20385000,15120000,135000,22005000,12420000,2700000,,,0,0,254000,0,0,254000,2.5,2.9,3.7,3.2,1.5,2.2,1.8
"2026/01/15","2026/01/19","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",0,60,0,0,0,0,0,0,64380,0,0,0,0,0,,,0,0,0,240,0,0,6.2,0,3.1,6.2,0,0,0
"2026/01/15","2026/01/19","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",5960,0,80880,40,10,34470,46410,13269940,0,180079320,89060,22265,76747455,103331865,,,0,0,973960,0,0,447720,66.9,31.7,190.3,54.3,70.4,5607,139
"2026/01/15","2026/01/19","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",0,0,1400,0,0,0,1400,0,0,2911300,0,0,0,2911300,,,0,0,15400,0,0,0,9.3,0,8.8,17.5,0,0,0
"2026/01/15","2026/01/19","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",16,0,208,0,11246,3300,-3092,893280,0,11612640,0,627864180,184239000,-172626360,,,0,0,0,138240,10473120,0,2.4,16.7,2.3,4,2.3,2.3,2.3
"2026/01/15","2026/01/19","1348","ＭＸＳトピクス","東証およびＰＴＳ",,"確報",3148,6650,8256,0,29159,4778,3478,11971844,25289950,31397568,0,110891677,18170734,13226834,,,0,0,0,70548,203622,0,2,1.9,2.1,2,2.1,1.9,2
"2026/01/15","2026/01/19","1349","アジア債券","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/15","2026/01/19","1356","ＴＰダブルインバース","東証およびＰＴＳ",,"確報",10000,207300,214330,14910,0,14910,199420,1466000,30390180,31420778,2185806,0,2185806,29234972,,,0,0,0,987912,0,0,4.2,4.6,5.2,4.9,1.6,1.1,1.3
"2026/01/15","2026/01/19","1357","ＮＦ日経ダブインバ","東証およびＰＴＳ",,"確報",0,170718,776749,142933,26577,207234,569515,0,855467898,3892289239,716237263,133177347,1038449574,2853839665,,,0,0,42636015,0,0,4089510,9.4,12.5,12.3,12.4,5.2,4.4,4.8
"2026/01/15","2026/01/19","1358","上場日経２倍","東証およびＰＴＳ",,"確報",13,203,13,0,1124,3224,-3211,1224600,19122600,1224600,0,105880800,303700800,-302476200,,,0,0,0,133980,2869680,0,4.9,1.7,1.7,1.7,6.2,4.9,5.5
