"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2025/12/25","2025/12/29","1301","極洋","東証およびＰＴＳ",,"確報",0,100,2600,0,0,400,2200,0,485000,12610000,0,0,1940000,10670000,,,0,0,0,40500,6000,0,7.8,86,4.2,8,3.5,14,5.6
"2025/12/25","2025/12/29","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",20,1590,11880,10,430,10040,1840,72480,5762160,43053120,36240,1558320,36384960,6668160,,,0,0,201750,0,0,156900,41.9,74.7,29.9,42.7,52.9,33.3,40.9
"2025/12/25","2025/12/29","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",220,28190,33070,22750,4890,47880,-14810,788920,101089340,118589020,81581500,17535540,171697680,-53108660,,,0,0,793520,0,0,390260,5.1,11,4,5.9,5.5,3.9,4.6
"2025/12/25","2025/12/29","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",4000,0,19185,10,2650,6251,12934,14160000,0,67914900,35400,9381000,22128540,45786360,,,0,0,106295,0,0,62237,4.9,4.9,5.1,5,6.7,3.7,4.8
"2025/12/25","2025/12/29","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,61,1,0,0,0,1,0,3281190,53790,0,0,0,53790,,,0,0,28520,0,0,0,4.4,8.4,2.9,4.4,0,0,0
"2025/12/25","2025/12/29","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",5600,6500,10700,0,0,0,10700,3365600,3906500,6430700,0,0,0,6430700,,,0,0,0,104400,0,0,3.8,5.1,3.1,3.8,0,0,0
"2025/12/25","2025/12/29","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,174,2000,0,0,108,1892,0,310416,3568000,0,0,192672,3375328,,,0,0,0,0,0,0,17.7,270,9.7,18.6,3,0,6
"2025/12/25","2025/12/29","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/12/25","2025/12/29","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,1568,9,556,11859,-10291,0,0,81708480,468990,28973160,617972490,-536264010,,,0,0,31360,0,0,248120,18.3,74.3,74.3,74.3,11.6,29.2,16.6
"2025/12/25","2025/12/29","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",6,2143,7858,2228,1818,82186,-74328,313800,112078900,410973400,116524400,95081400,4298327800,-3887354400,,,0,0,599700,0,0,4906560,15.7,5,4.7,4.8,16.3,23.8,19.3
"2025/12/25","2025/12/29","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,21,320,0,0,0,320,0,230580,3513600,0,0,0,3513600,,,0,0,30690,0,0,0,160.4,0,80.2,160.4,0,0,0
"2025/12/25","2025/12/29","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,7130,370,0,200,200,170,0,1797473,93277,0,50420,50420,42857,,,0,0,6000,0,0,320,4.3,251.2,2.2,4.4,1.5,3,2
"2025/12/25","2025/12/29","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",0,300,498,0,0,0,498,0,19500000,32370000,0,0,0,32370000,,,0,0,574560,0,0,0,14.9,23.1,11,14.9,0,0,0
"2025/12/25","2025/12/29","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",1,23477,10543,0,0,0,10543,16700,392065900,176068100,0,0,0,176068100,,,0,0,1360760,0,0,0,7.7,15.7,5.1,7.7,0,0,0
"2025/12/25","2025/12/29","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",312,61,28437,252,1,28437,0,1633944,319457,148924569,1319724,5237,148924569,0,,,0,0,0,112744,112744,0,7.5,35.6,4.4,7.8,26.9,4.2,7.3
"2025/12/25","2025/12/29","1330","上場２２５","東証およびＰＴＳ",,"確報",550,0,1649,254,349,7605,-5956,28798000,0,86341640,13299440,18273640,398197800,-311856160,,,0,0,10990,0,0,77000,11.4,12.1,9.5,10.7,7,33.1,11.5
"2025/12/25","2025/12/29","1332","ニッスイ","東証およびＰＴＳ",,"確報",300,1000,13500,300,1700,5600,7900,349050,1163500,15707250,349050,1977950,6515600,9191650,,,0,0,0,177500,87500,0,2.5,5.3,4.5,4.9,1.5,1.3,1.4
"2025/12/25","2025/12/29","1333","マルハニチロ","東証およびＰＴＳ",,"確報",2400,400,8900,0,0,2800,6100,9312000,1552000,34532000,0,0,10864000,23668000,,,0,0,55200,0,0,22400,10,4.8,15.3,7.3,142,35.5,56.8
