貸借取引対象銘柄一覧,20251219,,,,,,,,,
貸借申込日,コード,銘柄名,貸借銘柄区分（東証）,貸借銘柄区分（ＣＸＪ）,貸借銘柄区分（ＪＮＸ）,貸借銘柄区分（ＯＤＸ）,貸借銘柄区分（ＪＡＸ）,貸借銘柄区分（名証）,貸借銘柄区分（福証）,貸借銘柄区分（札証）
20251222,1458,楽天２２５ダブルブル,1,2,2,2,2,0,0,0
20251222,1459,楽天２２５ダブルベア,1,1,1,1,1,0,0,0
20251222,145A,Ｌ　ｉｓ　Ｂ,2,2,2,2,2,0,0,0
20251222,1466,ｉＦＪ４００Ｗベア,1,2,2,2,2,0,0,0
20251222,1469,４００ベア２倍,1,2,2,2,2,0,0,0
20251222,146A,コロンビア・ワークス,2,2,2,2,2,0,0,0
20251222,1472,ＮＦＪ４００Ｄインバ,1,2,2,2,2,0,0,0
20251222,1473,Ｏｎｅ・トピックス,1,1,1,1,1,0,0,0
20251222,1474,Ｏｎｅ・ＪＰＸ４００,1,1,1,1,1,0,0,0
20251222,1475,ｉＳＴＯＰＩＸ,1,1,1,1,1,0,0,0
20251222,1476,ｉＳＪリート,1,1,1,1,1,0,0,0
20251222,1477,ｉＳＭＳＣＩ最小分散,1,2,2,2,2,0,0,0
20251222,1478,ｉＳＭＳＣＩ高配当,1,1,1,1,1,0,0,0
20251222,1479,ｉＦＭＳＣＩ人材設備,1,2,2,2,2,0,0,0
20251222,147A,ソラコム,1,2,2,2,2,0,0,0
20251222,1480,ＮＦ企業価値,1,2,2,2,2,0,0,0
20251222,1481,上場日本経済貢献,1,2,2,2,2,0,0,0
20251222,1482,ｉＳ米国債七十円へジ,1,1,1,1,1,0,0,0
20251222,1483,ＩＳ設備人材,1,2,2,2,2,0,0,0
20251222,1484,Ｏｎｅ・設備人材投資,1,2,2,2,2,0,0,0
20251222,1485,ＭＸＳＪ積極投資,1,2,2,2,2,0,0,0
20251222,1486,上場米債ヘッジなし,1,2,2,2,2,0,0,0
20251222,1487,上場米債ヘッジあり,1,2,2,2,2,0,0,0
20251222,1488,ｉＦＪリート,1,1,1,1,1,0,0,0
20251222,1489,ＮＦ日経高配当５０,1,1,1,1,1,0,0,0
20251222,148A,ハッチ・ワーク,2,2,2,2,2,0,0,0
20251222,1490,上場ベータヘッジ,1,2,2,2,2,0,0,0
20251222,1491,中外鉱業,2,2,2,2,2,0,0,0
20251222,1493,Ｏｎｅ・中小型,1,2,2,2,2,0,0,0
20251222,1494,Ｏｎｅ・高配当日本株,1,2,2,2,2,0,0,0
20251222,1495,上場アジアリート,1,2,2,2,2,0,0,0
20251222,1496,ｉＳ米＄ＩＧ社債ヘジ,1,1,1,1,1,0,0,0
20251222,1497,ｉＳ米＄ＨＹ社債ヘジ,1,2,2,2,2,0,0,0
20251222,1498,Ｏｎｅ・ＥＳＧ,1,2,2,2,2,0,0,0
20251222,1499,ＭＸＳ高配当７０ＭＮ,1,2,2,2,2,0,0,0
20251222,149A,シンカ,2,2,2,2,2,0,0,0
20251222,150A,ＪＳＨ,2,2,2,2,2,0,0,0
20251222,1514,住石ホールディングス,1,2,1,1,1,0,0,0
20251222,1515,日鉄鉱業,1,1,1,1,1,0,0,0
20251222,1518,三井松島ＨＤ,1,1,1,1,1,0,1,0
20251222,151A,ダイブ,2,2,2,2,2,0,0,0
20251222,153A,カウリス,1,2,2,2,2,0,0,0
20251222,1540,純金信託,1,1,1,1,1,0,0,0
20251222,1541,純プラ信,1,2,2,2,2,0,0,0
20251222,1542,純銀信託,1,2,2,2,2,0,0,0
20251222,1543,純パラ信,1,2,2,2,2,0,0,0
20251222,1545,ナスダックヘッジ無,1,1,1,1,1,0,0,0
20251222,1546,ダウヘッジ無,1,2,2,2,2,0,0,0
20251222,1547,上場米国Ｓ＆Ｐ５００,1,1,1,1,1,0,0,0
20251222,1550,ＭＸＳ外株ＭＳＣＩ,1,2,2,2,2,0,0,0
20251222,1551,スタンダドＴＯＰ２０,1,2,2,2,2,0,0,0
20251222,1553,ＭＸＳＳ＆Ｐ東海投信,0,0,0,0,0,1,0,0
20251222,1554,上場インデＭＳ世界,1,2,2,2,2,0,0,0
20251222,1555,上場インデＡリート,1,2,2,2,2,0,0,0
20251222,1557,ＳＰＤＲＳ＆Ｐ５００,1,2,0,2,0,0,0,0
20251222,1559,ＮＦタイ株,1,2,2,2,2,0,0,0
20251222,155A,情報戦略テクノロジー,1,2,2,2,2,0,0,0
20251222,1560,ＮＦマレーシア株,1,2,2,2,2,0,0,0
20251222,1563,東証グロース・コア,1,2,2,2,2,0,0,0
20251222,1566,上場ＥＭ債,1,2,2,2,2,0,0,0
20251222,1568,ＴＰレバレッジダブル,1,2,2,2,2,0,0,0
20251222,1569,トピックスインバース,1,2,2,2,2,0,0,0
20251222,156A,マテリアルグループ,1,2,2,2,2,0,0,0
20251222,1570,ＮＦ日経レバ,1,1,1,1,1,0,0,0
20251222,1571,ＮＦ日経インバ,1,1,1,1,1,0,0,0
20251222,1572,Ｈ株レバレッジダブル,1,2,2,2,2,0,0,0
20251222,1573,Ｈ株インバース,1,2,2,2,2,0,0,0
20251222,1577,ＮＦ日本高配当７０,1,1,1,1,1,0,0,0
20251222,1578,上場インデ２２５ミニ,1,2,2,2,2,0,0,0
20251222,1579,日経レバレッジダブル,1,1,1,1,1,0,0,0
20251222,157A,グリーンモンスター,2,2,2,2,2,0,0,0
20251222,1580,２２５インバース,1,2,2,2,2,0,0,0
20251222,1585,ｉＦＥＸ－Ｆ,1,2,2,2,2,0,0,0
20251222,1586,上場ＥＸ－Ｆ,1,2,2,2,2,0,0,0
20251222,1591,ＮＦＪＰＸ４００,1,1,1,1,1,0,0,0
20251222,1592,上場ＪＰＸ日経４００,1,1,1,1,1,0,0,0
20251222,1593,ＭＸＳＪＰＸ４００,1,1,1,1,1,0,0,0
20251222,1595,ＮＺＡＭ東証ＲＥＩＴ,1,1,1,1,1,0,0,0
20251222,1596,ＮＺＡＭ　Ｅｘ―Ｆ,1,2,2,2,2,0,0,0
