"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2025/12/30","2026/01/06","1301","極洋","東証およびＰＴＳ",,"確報",0,300,2100,0,0,200,1900,0,1462500,10237500,0,0,975000,9262500,,,0,0,0,60000,5000,0,18.3,61.5,13.7,22.4,14,4.7,7
"2025/12/30","2026/01/06","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",960,290,12280,0,810,9240,3040,3468480,1047770,44367640,0,2926530,33384120,10983520,,,0,0,0,185760,160800,0,36.2,35.3,22.7,27.6,110.7,39.5,58.3
"2025/12/30","2026/01/06","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",0,8920,17160,28510,6030,64850,-47690,0,31924680,61415640,102037290,21581370,232098150,-170682510,,,0,0,0,521600,847400,0,3.5,14.4,3.9,6.1,2.8,2.6,2.7
"2025/12/30","2026/01/06","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",1871,10,8450,1855,0,8079,371,6621469,35390,29904550,6564845,0,28591581,1312969,,,0,0,0,105424,99584,0,4.3,5.5,4.2,4.7,7,2.5,3.7
"2025/12/30","2026/01/06","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,1,0,0,0,1,0,0,54000,0,0,0,54000,,,0,0,0,240,0,0,1.6,3.1,1.1,1.6,0,0,0
"2025/12/30","2026/01/06","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",1200,1700,15200,0,0,0,15200,576000,816000,7296000,0,0,0,7296000,,,0,0,0,502400,0,0,5.8,5,7.1,5.8,0,0,0
"2025/12/30","2026/01/06","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,0,2320,0,100,8,2312,0,0,4138880,0,178400,14272,4124608,,,0,0,0,20880,972,0,39,34.8,64,45.1,0,4.4,8.8
"2025/12/30","2026/01/06","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/12/30","2026/01/06","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,1556,393,403,13052,-11496,0,0,81005360,20459580,20980180,679487120,-598481760,,,0,0,0,280080,2351160,0,16.6,0,651.3,1302.7,13.6,16.4,14.8
"2025/12/30","2026/01/06","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",81,413,8631,6666,230,81367,-72736,4237920,21608160,451573920,348765120,12033600,4257121440,-3805547520,,,0,0,0,717040,5994480,0,20.1,6.7,12.5,8.7,28.4,20.1,23.5
"2025/12/30","2026/01/06","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5.8,0,2.9,5.8,0,0,0
