"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/20","2026/01/22","1301","極洋","東証およびＰＴＳ",,"確報",2100,0,5600,100,0,800,4800,10710000,0,28560000,510000,0,4080000,24480000,,,0,0,350000,0,0,70000,8.1,5.4,25.4,8.9,4.1,8.3,5.5
"2026/01/20","2026/01/22","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",60,290,9710,2560,10,11140,-1430,230880,1115920,37364080,9850880,38480,42866720,-5502640,,,0,0,0,278320,240520,0,17.6,139.1,46.4,69.5,8.4,12.2,10
"2026/01/20","2026/01/22","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",6600,340,19480,2190,18830,63800,-44320,25106400,1293360,74101920,8330760,71629320,242695200,-168593280,,,0,0,0,475920,2895840,0,5.3,6.9,2.8,4,4.8,7,5.7
"2026/01/20","2026/01/22","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",2964,0,9951,0,328,23528,-13577,11159460,0,37465515,0,1234920,88582920,-51117405,,,0,0,0,167688,572544,0,12.2,10.2,18,13,11.4,12.5,11.9
"2026/01/20","2026/01/22","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,2,0,1,2,0,0,0
"2026/01/20","2026/01/22","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",700,4700,16100,0,0,0,16100,367500,2467500,8452500,0,0,0,8452500,,,0,0,0,663300,0,0,11.3,10.4,12.3,11.3,0,0,0
"2026/01/20","2026/01/22","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,30,2170,0,0,558,1612,0,57120,4131680,0,0,1062432,3069248,,,0,0,0,41800,10602,0,38.7,45.6,154.7,70.4,7,0,14
"2026/01/20","2026/01/22","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/20","2026/01/22","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,30,1556,163,577,12838,-11282,0,1644300,85284360,8934030,31625370,703650780,-618366420,,,0,0,0,1062620,8878840,0,32.5,262.3,131.2,174.9,76,18.6,29.8
"2026/01/20","2026/01/22","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",2776,105,10237,1224,36078,59234,-48997,152874320,5782350,563751590,67405680,1986815460,3262016380,-2698264790,,,0,0,0,4690920,58334560,0,10.5,7.4,55.3,13,16.5,7.5,10.3
"2026/01/20","2026/01/22","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/20","2026/01/22","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,0,390,300,0,300,90,0,0,105300,81000,0,81000,24300,,,0,0,780,0,0,0,3.2,77,13.6,23.1,1.2,1,1.1
"2026/01/20","2026/01/22","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",0,76,313,0,0,0,313,0,5218160,21490580,0,0,0,21490580,,,0,0,330650,0,0,0,18.2,21.3,18,19.5,0,0,0
"2026/01/20","2026/01/22","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",140,1955,10897,387,0,487,10410,2489200,34759900,193748660,6880860,0,8658860,185089800,,,0,0,2923760,0,0,23000,13.3,13.9,13.6,13.7,2.3,0,4.6
"2026/01/20","2026/01/22","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",50,402,17687,0,248,34,17653,276000,2219040,97632240,0,1368960,187680,97444560,,,0,0,0,1100379,17202,0,11.9,17.6,17.1,17.4,2.4,2.4,2.4
"2026/01/20","2026/01/22","1330","上場２２５","東証およびＰＴＳ",,"確報",360,0,1912,809,272,6170,-4258,19850400,0,105427680,44608260,14998080,340213800,-234786120,,,0,0,0,962240,3492460,0,6.6,18.1,140.2,32,8.7,4.3,5.8
