"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/08","2026/01/13","1301","極洋","東証およびＰＴＳ",,"確報",0,200,2400,300,200,500,1900,0,984000,11808000,1476000,984000,2460000,9348000,,,0,0,0,52000,8000,0,12.1,20,20,20,2.7,4.8,3.5
"2026/01/08","2026/01/13","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",150,830,10500,0,0,9320,1180,553950,3065190,38776500,0,0,34418760,4357740,,,0,0,0,313040,260960,0,41.5,45.3,23.9,31.3,145.7,44.4,68.1
"2026/01/08","2026/01/13","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",420,260,13570,9310,15950,93500,-79930,1535100,950300,49598350,34028050,58297250,341742500,-292144150,,,0,0,0,388890,2904060,0,7.4,80.7,5.3,10,5,12,7.1
"2026/01/08","2026/01/13","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",6968,0,13581,505,9564,11318,2263,25161448,0,49040991,1823555,34535604,40869298,8171693,,,0,0,0,191777,590933,0,4.8,3.4,7.9,4.8,4.3,5.7,4.9
"2026/01/08","2026/01/13","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,1,0,0,0,1,0,0,55300,0,0,0,55300,,,0,0,0,400,0,0,0,0,0,0,0,0,0
"2026/01/08","2026/01/13","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",400,600,14300,0,0,0,14300,185200,277800,6620900,0,0,0,6620900,,,0,0,0,58000,0,0,13.9,15.8,12.3,13.9,0,0,0
"2026/01/08","2026/01/13","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,320,2010,0,100,8,2002,0,584320,3670260,0,182600,14608,3655652,,,0,0,0,60580,2808,0,37,1130,35.3,68.5,3.4,1.7,2.3
"2026/01/08","2026/01/13","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,1000,0,0,0,1000,0,0,655000,0,0,0,655000,,,0,0,0,0,0,0,6,3,0,6,0,0,0
"2026/01/08","2026/01/13","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",30,0,2356,852,1598,14817,-12461,1587600,0,124679520,45087840,84566160,784115640,-659436120,,,0,0,0,2070140,13851070,0,16.7,11.7,0,23.4,13.6,19.8,16.1
"2026/01/08","2026/01/13","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",742,16080,5570,0,17385,79804,-74234,39400200,853848000,295767000,0,923143500,4237592400,-3941825400,,,0,0,0,17771800,82610650,0,8.6,2.3,1.9,2.1,11.3,12.7,12
"2026/01/08","2026/01/13","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/08","2026/01/13","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,0,320,0,0,0,320,0,0,82912,0,0,0,82912,,,0,0,0,1376,0,0,16,58.3,10.3,17.5,1,1,1
"2026/01/08","2026/01/13","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",13,0,942,0,0,0,942,828490,0,60033660,0,0,0,60033660,,,0,0,0,250830,0,0,63.6,79.7,52.9,63.6,0,0,0
"2026/01/08","2026/01/13","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",1941,1381,14054,0,0,100,13954,32016795,22779595,231820730,0,0,1649500,230171230,,,0,0,0,1281930,9500,0,10.8,9.3,12.9,10.8,5,0,10
"2026/01/08","2026/01/13","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",2824,0,22530,0,27587,17676,4854,15032152,0,119927190,0,146845601,94089348,25837842,,,0,0,0,1615892,3711566,0,4,5,3.3,4,5.1,3.4,4.1
"2026/01/08","2026/01/13","1330","上場２２５","東証およびＰＴＳ",,"確報",40,0,1880,50,4872,7151,-5271,2124000,0,99828000,2655000,258703200,379718100,-279890100,,,0,0,0,1748000,11374350,0,8.8,8.9,13.1,10.6,11,7,8.6
"2026/01/08","2026/01/13","1332","ニッスイ","東証およびＰＴＳ",,"確報",2000,4800,17000,100,0,5700,11300,2281000,5474400,19388500,114050,0,6500850,12887650,,,0,0,0,0,0,0,7.2,6.7,14.8,9.3,4.2,3.9,4
"2026/01/08","2026/01/13","1333","マルハニチロ","東証およびＰＴＳ",,"確報",300,600,6700,0,100,1700,5000,394650,789300,8813850,0,131550,2236350,6577500,,,0,0,0,31500,8100,0,3.3,12.6,1.8,3.1,9.2,2.2,3.6
"2026/01/08","2026/01/13","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",0,0,709,0,0,0,709,0,0,750831,0,0,0,750831,,,0,0,1418,0,0,0,68.2,0,34.1,68.2,0,0,0
"2026/01/08","2026/01/13","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",1700,200,72420,660,0,32770,39650,3757000,442000,160048200,1458600,0,72421700,87626500,,,0,0,354600,0,0,160550,19,141.9,7.4,14,180.6,211.1,194.7
"2026/01/08","2026/01/13","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",0,800,1400,0,700,0,1400,0,1650800,2888900,0,1444450,0,2888900,,,0,0,6600,0,0,2100,1.1,6.7,6.2,6.4,1,1,1
"2026/01/08","2026/01/13","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",5,0,1576,0,982,2716,-1140,266200,0,83906240,0,52281680,144599840,-60693600,,,0,0,0,1241090,2921420,0,5.7,263.8,94.2,138.8,5.1,3.5,4.1
"2026/01/08","2026/01/13","1348","ＭＸＳトピクス","東証およびＰＴＳ",,"確報",1,1950,4862,0,86,8073,-3211,3649,7115550,17741438,0,313814,29458377,-11716939,,,0,0,0,115787,138703,0,4.5,13.2,13.4,13.3,2.5,4.1,3.1
"2026/01/08","2026/01/13","1349","アジア債券","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/08","2026/01/13","1356","ＴＰダブルインバース","東証およびＰＴＳ",,"確報",32690,0,218720,10,11170,24780,193940,5335008,0,35695104,1632,1822944,4044096,31651008,,,0,0,465075,0,0,89850,8.4,7,10.6,8.5,6.5,11.1,8.2
"2026/01/08","2026/01/13","1357","ＮＦ日経ダブインバ","東証およびＰＴＳ",,"確報",13800,66637,730111,17722,19784,238092,492019,77859600,375965954,4119286262,99987524,111621328,1343315064,2775971198,,,0,0,139364744,0,0,42747412,21.9,19.3,33,24.4,16.4,16.7,16.6
"2026/01/08","2026/01/13","1358","上場日経２倍","東証およびＰＴＳ",,"確報",329,0,329,58,1922,1989,-1660,27721540,0,27721540,4887080,161947720,167593140,-139871600,,,0,0,0,0,10903990,0,4.2,2.6,1.2,1.7,5.8,4.6,5.1
