品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260206,20260210,1320,ｉＦ２２５年１,東証,決算,20260710,56150.00,6535,120.00,10.00,2,5.00,,,F
20260206,20260210,1321,ＮＦ日経２２５,東証,決算,20260708,56390.00,13075,120.00,10.00,2,0.00,,,F
20260206,20260210,1330,上場２２５,東証,決算,20260708,56460.00,673,120.00,10.00,2,5.00,,,F
20260206,20260210,133A,ＧＸ超短期米国債,東証,決算,20260324,1060.00,0,60.00,*****,*****,*****,満額,,
20260206,20260210,1343,ＮＦＪ－ＲＥＩＴ,東証,決算,20260210,2174.50,233140,32.00,1.00,2,*****,,,E
20260206,20260210,1346,ＭＸＳ２２５,東証,決算,20260716,56020.00,525,120.00,10.00,2,5.00,,,F
20260206,20260210,1358,上場日経２倍,東証,決算,20260710,94300.00,300,400.00,10.00,2,5.00,,注意,E
20260206,20260210,135A,ＶＲＡＩＮ,東証,決算,20260228,2387.00,0,4.80,*****,*****,*****,満額,,
20260206,20260210,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,54500.00,319,120.00,10.00,2,5.00,,,F
20260206,20260210,1377,サカタのタネ,東証,決算,20260531,4115.00,0,8.40,*****,*****,*****,満額,,
20260206,20260210,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54770.00,5,120.00,10.00,2,5.00,,,F
20260206,20260210,1399,上場高配当低ボラ,東証,決算,20260408,2955.00,453,60.00,10.00,2,5.00,,,F
20260206,20260210,1414,ショーボンドＨＤ,東証,決算,20260630,1485.00,0,3.00,*****,*****,*****,満額,,
20260206,20260210,1418,インターライフＨＤ,東証,決算,20260228,606.00,21600,2.80,0.10,2,0.05,,停止,F
20260206,20260210,1419,タマホーム,東証,決算,20260228,3850.00,308800,15.60,0.40,2,0.20,,停止,D
20260206,20260210,141A,トライアル,東証,決算,20260630,2970.00,16800,6.00,0.00,2,0.00,,,F
