品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260129,20260202,1320,ｉＦ２２５年１,東証,決算,20260710,55250.00,11247,120.00,5.00,1,5.00,,,F
20260129,20260202,1321,ＮＦ日経２２５,東証,決算,20260708,55440.00,37719,120.00,5.00,1,5.00,,,F
20260129,20260202,1330,上場２２５,東証,決算,20260708,55520.00,3279,120.00,5.00,1,5.00,,,F
20260129,20260202,1346,ＭＸＳ２２５,東証,決算,20260716,55120.00,916,120.00,5.00,1,5.00,,,F
20260129,20260202,1358,上場日経２倍,東証,決算,20260710,91310.00,1390,400.00,5.00,1,5.00,,注意,D
20260129,20260202,135A,ＶＲＡＩＮ,東証,決算,20260228,2599.00,0,5.20,*****,*****,*****,満額,,
20260129,20260202,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3299.00,11,120.00,0.00,1,*****,,,F
20260129,20260202,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,53630.00,63,120.00,5.00,1,5.00,,,F
20260129,20260202,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54000.00,6,120.00,5.00,1,5.00,,,F
20260129,20260202,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2065.00,1880,8.00,0.50,1,0.50,,,F
20260129,20260202,1414,ショーボンドＨＤ,東証,決算,20260630,1376.00,0,2.80,*****,*****,*****,満額,,
20260129,20260202,1418,インターライフＨＤ,東証,決算,20260228,572.00,21500,2.40,0.05,1,*****,,停止,F
20260129,20260202,1419,タマホーム,東証,決算,20260228,3695.00,361600,14.80,0.20,1,0.20,,停止,C
20260129,20260202,141A,トライアル,東証,決算,20260630,2917.00,0,6.00,*****,*****,0.15,満額,,
20260129,20260202,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,634.00,13400,1.40,0.00,1,0.00,,,F
20260129,20260202,1433,ベステラ,東証,決算,20260731,1211.00,0,5.20,*****,*****,1.45,満額,停止,
20260129,20260202,1457,ｉＦＴＰＸベア,東証,決算,20270110,2113.00,0,60.00,*****,*****,*****,満額,,
20260129,20260202,1473,Ｏｎｅ・トピックス,東証,決算,20260708,3604.00,500,9.00,0.50,1,0.50,,,F
20260129,20260202,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,32240.00,3,90.00,0.00,1,0.00,,,F
20260129,20260202,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,53,100.00,5.00,1,5.00,,,D
20260129,20260202,147A,ソラコム,東証,決算,20260430,1134.00,41000,2.40,0.05,1,0.05,,,F
20260129,20260202,1487,上場米債ヘッジあり,東証,決算,20260710,12330.00,0,70.00,*****,*****,*****,満額,,
20260129,20260202,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260410,9130.00,17,60.00,5.00,1,5.00,,,F
20260129,20260202,1514,住石ホールディングス,東証,決算,20260331,711.00,0,3.20,*****,*****,0.05,満額,停止,
20260129,20260202,153A,カウリス,東証,決算,20260630,1146.00,35000,2.40,0.05,1,0.05,,,E
20260129,20260202,1545,ナスダックヘッジ無,東証,決算,20260810,40370.00,448,100.00,0.00,1,0.00,,,F
20260129,20260202,1546,ダウヘッジ無,東証,決算,20260810,73090.00,0,160.00,*****,*****,*****,満額,,
20260129,20260202,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7249.00,0,60.00,*****,*****,*****,満額,,
20260129,20260202,1554,上場インデＭＳ世界,東証,決算,20270120,6030.00,0,60.00,*****,*****,*****,満額,,
20260129,20260202,1555,上場インデＡリート,東証,決算,20260310,2518.00,14,60.00,5.00,1,0.00,,,F
20260129,20260202,1566,上場ＥＭ債,東証,決算,20260310,53950.00,0,240.00,*****,*****,*****,満額,注意,
20260129,20260202,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2372.00,160,8.00,0.50,1,0.50,,,F
20260129,20260202,1591,ＮＦＪＰＸ４００,東証,決算,20260407,32150.00,254,90.00,5.00,1,5.00,,,F
20260129,20260202,1592,上場ＪＰＸ日経４００,東証,決算,20260708,2934.00,0,60.00,*****,*****,*****,満額,,
20260129,20260202,1622,ＮＦ自動車Ｔ１７,東証,決算,20260715,36510.00,35,90.00,5.00,1,5.00,,,F
20260129,20260202,1626,ＮＦ情通・他Ｔ１７,東証,決算,20260715,40560.00,0,100.00,*****,*****,*****,満額,,
20260129,20260202,1627,ＮＦ電力ガスＴ１７,東証,決算,20260715,11415.00,0,70.00,*****,*****,*****,満額,,
20260129,20260202,1632,ＮＦ金融Ｔ１７,東証,決算,20260715,34510.00,0,90.00,*****,*****,*****,満額,,
20260129,20260202,1653,ｉＦＥＳＧセレクト,東証,決算,20260710,4580.00,600,10.00,0.50,1,0.50,,,E
20260129,20260202,1671,ＷＴＩ原油ＥＴＦ,東証,決算,20260715,3247.00,28195,60.00,5.00,1,5.00,,,E
20260129,20260202,167A,リョーサン菱洋,東証,決算,20260331,3085.00,0,6.20,*****,*****,*****,満額,,
20260129,20260202,1681,上場ＭＳエマ,東証,決算,20270120,2968.00,0,60.00,*****,*****,*****,満額,,
20260129,20260202,1699,ＮＦ原油先物,東証,決算,20260210,414.60,67990,6.00,0.00,1,0.00,,,F
20260129,20260202,1720,東急建設,東証,決算,20260331,1282.00,39800,2.60,0.05,1,*****,,,F
20260129,20260202,1721,コムシスＨＤ,東証,決算,20260331,4853.00,0,9.80,*****,*****,*****,満額,,
20260129,20260202,1762,高松コンストラクシＧ,東証,決算,20260331,3790.00,14700,7.60,0.10,1,0.10,,,F
20260129,20260202,1766,東建コーポレーション,東証,決算,20260430,14750.00,5800,29.60,0.60,1,0.60,,,F
20260129,20260202,1786,オリエンタル白石,東証,決算,20260331,410.00,46800,1.00,0.00,1,0.00,,,F
20260129,20260202,1808,長谷工コーポ,東証,決算,20260331,3143.00,9200,6.40,0.10,1,0.00,,,F
20260129,20260202,1811,銭高組,東証,決算,20260331,8110.00,0,16.40,*****,*****,*****,満額,,
20260129,20260202,1813,不動テトラ,東証,決算,20260331,2996.00,0,6.00,*****,*****,*****,満額,,
20260129,20260202,1820,西松建設,東証,決算,20260331,5759.00,0,11.60,*****,*****,*****,満額,,
20260129,20260202,1822,大豊建設,東証,決算,20260331,791.00,14100,1.60,0.00,1,0.00,,,F
20260129,20260202,1860,戸田建設,東証,決算,20260331,1364.00,0,2.80,*****,*****,0.00,満額,,
20260129,20260202,186A,アストロスケール,東証,決算,20260430,1085.00,0,2.20,*****,*****,*****,満額,,
20260129,20260202,1871,ピーエス,東証,決算,20260331,3090.00,8900,6.20,0.05,1,*****,,,F
20260129,20260202,1879,新日本建設,東証,決算,20260331,1975.00,0,4.00,*****,*****,*****,満額,,
20260129,20260202,1926,ライト工業,東証,決算,20260331,3510.00,0,7.20,*****,*****,*****,満額,,
20260129,20260202,1939,四電工,東証,決算,20260331,1707.00,5100,3.60,0.05,1,0.05,,,F
20260129,20260202,1941,中電工,東証,決算,20260331,4570.00,0,9.20,*****,*****,*****,満額,,
20260129,20260202,1967,ヤマト,東証,決算,20260320,2349.00,0,4.80,*****,*****,*****,満額,,
20260129,20260202,1976,明星工業,東証,決算,20260331,1715.00,39700,3.60,0.10,1,0.10,,,F
20260129,20260202,1979,大氣社,東証,決算,20260331,3455.00,0,7.00,*****,*****,*****,満額,,
20260129,20260202,197A,タウンズ,東証,決算,20260331,526.00,0,1.20,*****,*****,*****,満額,,
20260129,20260202,1982,日比谷総合設備,東証,決算,20260331,4825.00,15500,9.80,0.20,1,0.20,,,E
20260129,20260202,2002,日清製粉グループ本社,東証,決算,20260331,1947.50,0,4.00,*****,*****,*****,満額,,
20260129,20260202,2003,日東富士製粉,東証,決算,20260331,6960.00,2000,14.00,0.25,1,0.05,,,F
20260129,20260202,2015,ｉＦ米国債７１０Ｈ無,東証,決算,20260225,2113.00,6,120.00,5.00,1,5.00,,注意,F
20260129,20260202,2053,中部飼料,東証,決算,20260331,1719.00,0,3.60,*****,*****,*****,満額,,
20260129,20260202,2055,日和産業,東証,決算,20260331,349.00,0,1.00,*****,*****,*****,満額,,
20260129,20260202,2117,ウェルネオシュガー,東証,決算,20260331,2835.00,0,5.80,*****,*****,*****,満額,,
20260129,20260202,2138,クルーズ,東証,決算,20260331,584.00,11300,1.20,0.00,1,*****,,,F
20260129,20260202,2139,中広,東証,決算,20260331,438.00,0,1.00,*****,*****,*****,満額,,
20260129,20260202,2146,ＵＴグループ,東証,決算,20260331,206.00,0,1.00,*****,*****,*****,満額,,
20260129,20260202,2154,オープンアップＧ,東証,決算,20260331,1872.00,0,3.80,*****,*****,*****,満額,,
20260129,20260202,215A,タイミー,東証,決算,20260430,1380.00,0,2.80,*****,*****,*****,満額,,
20260129,20260202,2160,ジーエヌアイグループ,東証,決算,20260331,2508.00,0,5.20,*****,*****,*****,満額,,
20260129,20260202,2168,パソナグループ,東証,決算,20260531,2015.00,29100,4.20,0.05,1,0.05,,,F
20260129,20260202,2169,ＣＤＳ,東証,決算,20260630,1819.00,0,3.80,*****,*****,*****,満額,,
20260129,20260202,2175,エス・エム・エス,東証,決算,20260331,1657.00,53700,3.40,0.05,1,0.05,,,F
20260129,20260202,2193,クックパッド,東証,決算,20260630,146.00,0,1.00,*****,*****,*****,満額,,
20260129,20260202,2198,アイ・ケイ・ケイＨＤ,東証,決算,20260430,799.00,0,1.60,*****,*****,*****,満額,,
20260129,20260202,219A,Ｈｅａｒｔｓｅｅｄ,東証,決算,20260630,1931.00,368600,8.00,0.10,1,0.10,,停止,C
20260129,20260202,2204,中村屋,東証,決算,20260331,3050.00,0,6.20,*****,*****,*****,満額,,
20260129,20260202,2206,江崎グリコ,東証,決算,20260630,5508.00,33400,11.20,0.25,1,0.25,,,E
20260129,20260202,2211,不二家,東証,決算,20260630,2535.00,33200,5.20,0.10,1,0.10,,,E
20260129,20260202,2216,カンロ,東証,決算,20260630,1595.00,0,3.20,*****,*****,*****,満額,,
20260129,20260202,2217,モロゾフ,東証,決算,20260731,1524.00,48000,3.20,0.10,1,0.50,,,E
20260129,20260202,2222,寿スピリッツ,東証,決算,20260331,1787.00,0,3.60,*****,*****,*****,満額,,
20260129,20260202,2226,湖池屋,東証,決算,20260331,4635.00,1000,9.40,0.00,1,0.00,,,F
20260129,20260202,2229,カルビー,東証,決算,20260331,3003.00,13200,6.20,0.15,1,0.10,,,F
20260129,20260202,2266,六甲バター,東証,決算,20260630,1167.00,32700,2.40,0.05,1,0.05,,,E
20260129,20260202,2270,雪印メグミルク,東証,決算,20260331,3345.00,0,6.80,*****,*****,*****,満額,,
20260129,20260202,2282,日本ハム,東証,決算,20260331,6916.00,19300,14.00,0.05,1,0.00,,,F
20260129,20260202,2288,丸大食品,東証,決算,20260331,2248.00,0,4.60,*****,*****,0.05,満額,,
20260129,20260202,2291,福留ハム,東証,決算,20260331,644.00,20600,1.40,0.05,1,0.05,,,D
20260129,20260202,2296,伊藤ハム米久ＨＤ,東証,決算,20260331,5980.00,0,12.00,*****,*****,*****,満額,,
20260129,20260202,2305,スタジオアリス,東証,決算,20260228,1991.00,0,4.00,*****,*****,0.05,満額,,
20260129,20260202,2325,ＮＪＳ,東証,決算,20260630,4780.00,0,9.60,*****,*****,0.00,満額,,
20260129,20260202,2327,日鉄ソリューションズ,東証,決算,20260331,4270.00,1300,8.60,0.00,1,0.10,,,F
20260129,20260202,2335,キューブシステム,東証,決算,20260331,1059.00,0,2.20,*****,*****,*****,満額,,
20260129,20260202,2337,いちご,東証,決算,20260228,401.00,147900,1.00,0.00,1,*****,,,F
20260129,20260202,2353,日本駐車場開発,東証,決算,20260731,283.00,146200,1.00,0.00,1,0.05,,,F
20260129,20260202,235A,ＧＸ高配当３０日株,東証,決算,20260224,1300.00,0,60.00,*****,*****,*****,満額,,
20260129,20260202,2378,ルネサンス,東証,決算,20260331,1076.00,61700,2.20,0.05,1,0.05,,,F
20260129,20260202,2389,デジタルＨＤ,東証,決算,20260331,2010.00,21100,8.40,0.10,1,*****,,停止,D
20260129,20260202,2404,鉄人化ＨＤ,東証,決算,20260228,507.00,0,1.20,*****,*****,*****,満額,,
20260129,20260202,241A,ＲＯＸＸ,東証,決算,20260331,562.00,0,2.40,*****,*****,*****,満額,停止,
20260129,20260202,2433,博報堂ＤＹＨＤ,東証,決算,20260331,1151.00,24000,2.40,0.05,1,0.05,,,F
20260129,20260202,2438,アスカネット,東証,決算,20260430,368.00,0,1.00,*****,*****,*****,満額,,
20260129,20260202,2440,ぐるなび,東証,決算,20260331,160.00,123100,1.00,0.00,1,0.00,,,D
20260129,20260202,2461,ファンコミュニ,東証,決算,20260630,480.00,15700,1.00,0.00,1,0.00,,,F
20260129,20260202,2475,ＷＤＢＨＤ,東証,決算,20260331,1582.00,0,3.20,*****,*****,*****,満額,,
20260129,20260202,2477,手間いらず,東証,決算,20260630,3130.00,0,6.40,*****,*****,*****,満額,,
20260129,20260202,2484,出前館,東証,決算,20260228,132.00,120500,1.00,0.00,1,*****,,,F
20260129,20260202,2489,アドウェイズ,東証,決算,20260630,263.00,0,1.00,*****,*****,*****,満額,,
20260129,20260202,2491,バリューコマース,東証,決算,20260630,647.00,148600,1.40,0.05,1,0.00,,,D
20260129,20260202,2492,インフォマート,東証,決算,20260630,456.00,0,1.00,*****,*****,*****,満額,,
