品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260109,20260114,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3690.00,60720,9.00,0.00,1,0.00,,,F
20260109,20260114,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3648.00,0,60.00,*****,*****,*****,満額,,
20260109,20260114,1320,ｉＦ２２５年１,東証,決算,20260710,53690.00,12029,120.00,5.00,1,5.00,,,F
20260109,20260114,1321,ＮＦ日経２２５,東証,決算,20260708,53940.00,86146,120.00,5.00,1,5.00,,,E
20260109,20260114,1330,上場２２５,東証,決算,20260708,53980.00,9168,120.00,5.00,1,5.00,,,F
20260109,20260114,1346,ＭＸＳ２２５,東証,決算,20260116,54010.00,1776,240.00,5.00,1,5.00,,,F
20260109,20260114,1358,上場日経２倍,東証,決算,20260710,86680.00,2327,360.00,5.00,1,5.00,,注意,D
20260109,20260114,135A,ＶＲＡＩＮ,東証,決算,20260228,3250.00,0,6.60,*****,*****,*****,満額,,
20260109,20260114,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3272.00,0,60.00,*****,*****,*****,満額,,
20260109,20260114,1365,ｉＦ２２５ダブル,東証,決算,20270110,70200.00,6309,320.00,5.00,1,5.00,,注意,C
20260109,20260114,1367,ｉＦＴＰＸダブル,東証,決算,20270110,58490.00,0,120.00,*****,*****,*****,満額,,
20260109,20260114,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,52010.00,381,120.00,5.00,1,5.00,,,F
20260109,20260114,1377,サカタのタネ,東証,決算,20260531,4335.00,0,8.80,*****,*****,*****,満額,,
20260109,20260114,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,52230.00,13,120.00,5.00,1,5.00,,,F
20260109,20260114,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2103.50,70,8.00,0.50,1,*****,,,F
20260109,20260114,1418,インターライフＨＤ,東証,決算,20260228,699.00,58000,1.40,0.00,1,0.00,,,F
20260109,20260114,1419,タマホーム,東証,決算,20260228,3450.00,267500,7.00,0.15,1,0.15,,,B
20260109,20260114,141A,トライアル,東証,決算,20260630,3090.00,531700,6.20,0.15,1,0.15,,,E
20260109,20260114,1429,日本アクア,東証,決算,20260630,881.00,0,1.80,*****,*****,*****,満額,,
20260109,20260114,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,643.00,0,1.40,*****,*****,0.00,満額,,
20260109,20260114,1433,ベステラ,東証,決算,20260131,1286.00,2700,5.20,0.05,1,*****,,停止,F
20260109,20260114,1457,ｉＦＴＰＸベア,東証,決算,20270110,2136.00,0,60.00,*****,*****,*****,満額,,
20260109,20260114,1466,ｉＦＪ４００Ｗベア,東証,決算,20270110,303.00,6,120.00,5.00,1,*****,,停止,F
20260109,20260114,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,32020.00,0,90.00,*****,*****,*****,満額,,
