品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260202,20260204,1320,ｉＦ２２５年１,東証,決算,20260710,54580.00,11671,120.00,5.00,1,5.00,,,F
20260202,20260204,1321,ＮＦ日経２２５,東証,決算,20260708,54750.00,29036,120.00,0.00,1,5.00,,,F
20260202,20260204,1330,上場２２５,東証,決算,20260708,54840.00,3486,120.00,5.00,1,5.00,,,F
20260202,20260204,1332,ニッスイ,東証,決算,20260331,1300.00,0,2.60,*****,*****,*****,満額,,
20260202,20260204,1346,ＭＸＳ２２５,東証,決算,20260716,54480.00,663,120.00,5.00,1,5.00,,,F
20260202,20260204,1358,上場日経２倍,東証,決算,20260710,89500.00,1178,360.00,5.00,1,5.00,,注意,E
20260202,20260204,135A,ＶＲＡＩＮ,東証,決算,20260228,2543.00,0,5.20,*****,*****,*****,満額,,
20260202,20260204,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,53030.00,83,120.00,5.00,1,5.00,,,F
20260202,20260204,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,53330.00,6,120.00,5.00,1,5.00,,,F
20260202,20260204,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2046.00,2140,8.00,0.50,1,0.50,,,F
20260202,20260204,1414,ショーボンドＨＤ,東証,決算,20260630,1402.00,0,3.00,*****,*****,*****,満額,,
20260202,20260204,1418,インターライフＨＤ,東証,決算,20260228,590.00,34200,2.40,0.05,1,*****,,停止,F
20260202,20260204,1419,タマホーム,東証,決算,20260228,3725.00,336000,15.20,0.20,1,0.20,,停止,C
20260202,20260204,141A,トライアル,東証,決算,20260630,2858.00,50600,5.80,0.00,1,0.00,,,F
20260202,20260204,1429,日本アクア,東証,決算,20260630,871.00,0,1.80,*****,*****,*****,満額,,
20260202,20260204,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,642.00,15700,1.40,0.05,1,0.05,,,F
20260202,20260204,1433,ベステラ,東証,決算,20260731,1154.00,0,2.40,*****,*****,*****,満額,,
20260202,20260204,1457,ｉＦＴＰＸベア,東証,決算,20270110,2122.00,0,60.00,*****,*****,*****,満額,,
20260202,20260204,1473,Ｏｎｅ・トピックス,東証,決算,20260708,3593.00,280,9.00,0.50,1,0.50,,,F
20260202,20260204,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,32150.00,3,90.00,0.00,1,0.00,,,F
20260202,20260204,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,53,100.00,5.00,1,5.00,,,D
20260202,20260204,147A,ソラコム,東証,決算,20260430,1106.00,44300,2.40,0.05,1,0.05,,,E
20260202,20260204,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260410,9100.00,30,60.00,5.00,1,5.00,,,F
20260202,20260204,1514,住石ホールディングス,東証,決算,20260331,641.00,0,2.80,*****,*****,*****,満額,停止,
20260202,20260204,153A,カウリス,東証,決算,20260630,1144.00,39200,2.40,0.05,1,0.05,,,E
20260202,20260204,1545,ナスダックヘッジ無,東証,決算,20260810,39310.00,1584,90.00,0.00,1,0.00,,,F
20260202,20260204,1546,ダウヘッジ無,東証,決算,20260810,73140.00,0,160.00,*****,*****,*****,満額,,
20260202,20260204,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7172.00,0,60.00,*****,*****,*****,満額,,
20260202,20260204,1554,上場インデＭＳ世界,東証,決算,20270120,5964.00,0,60.00,*****,*****,*****,満額,,
20260202,20260204,1555,上場インデＡリート,東証,決算,20260310,2497.00,45,60.00,5.00,1,5.00,,,F
20260202,20260204,155A,情報戦略テクノロジー,東証,決算,20260630,1402.00,0,3.00,*****,*****,*****,満額,,
20260202,20260204,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2395.00,170,8.00,0.50,1,0.50,,,F
20260202,20260204,1591,ＮＦＪＰＸ４００,東証,決算,20260407,32080.00,104,90.00,5.00,1,5.00,,,F
20260202,20260204,1592,上場ＪＰＸ日経４００,東証,決算,20260708,2924.00,0,60.00,*****,*****,*****,満額,,
20260202,20260204,1620,ＮＦ素材化学Ｔ１７,東証,決算,20260715,32500.00,32,90.00,5.00,1,*****,,,F
20260202,20260204,1622,ＮＦ自動車Ｔ１７,東証,決算,20260715,37300.00,43,90.00,0.00,1,*****,,,F
20260202,20260204,1626,ＮＦ情通・他Ｔ１７,東証,決算,20260715,40500.00,0,100.00,*****,*****,*****,満額,,
20260202,20260204,1627,ＮＦ電力ガスＴ１７,東証,決算,20260715,11410.00,0,70.00,*****,*****,*****,満額,,
20260202,20260204,1633,ＮＦ不動産Ｔ１７,東証,決算,20260715,53940.00,0,120.00,*****,*****,*****,満額,,
20260202,20260204,1663,Ｋ＆Ｏエナジー,東証,決算,20260630,4210.00,0,8.60,*****,*****,*****,満額,,
20260202,20260204,1671,ＷＴＩ原油ＥＴＦ,東証,決算,20260715,3159.00,0,60.00,*****,*****,*****,満額,,
20260202,20260204,167A,リョーサン菱洋,東証,決算,20260331,3065.00,0,6.20,*****,*****,*****,満額,,
20260202,20260204,1681,上場ＭＳエマ,東証,決算,20270120,2845.00,0,60.00,*****,*****,*****,満額,,
20260202,20260204,1699,ＮＦ原油先物,東証,決算,20260210,402.80,101080,12.00,0.50,1,0.00,,,F
20260202,20260204,1719,安藤・間,東証,決算,20260331,2006.50,0,4.20,*****,*****,*****,満額,,
20260202,20260204,1720,東急建設,東証,決算,20260331,1266.00,45100,2.60,0.05,1,0.10,,,F
20260202,20260204,1721,コムシスＨＤ,東証,決算,20260331,4811.00,0,9.80,*****,*****,*****,満額,,
20260202,20260204,1762,高松コンストラクシＧ,東証,決算,20260331,3810.00,15200,7.80,0.10,1,0.10,,,F
20260202,20260204,1766,東建コーポレーション,東証,決算,20260430,14920.00,6900,30.00,0.60,1,0.60,,,F
20260202,20260204,1786,オリエンタル白石,東証,決算,20260331,409.00,63000,1.00,0.00,1,0.00,,,F
20260202,20260204,1808,長谷工コーポ,東証,決算,20260331,3143.00,14200,6.40,0.10,1,0.10,,,F
20260202,20260204,1811,銭高組,東証,決算,20260331,8100.00,0,16.20,*****,*****,*****,満額,,
20260202,20260204,1813,不動テトラ,東証,決算,20260331,3025.00,0,6.20,*****,*****,*****,満額,,
20260202,20260204,1814,大末建設,東証,決算,20260331,3715.00,0,7.60,*****,*****,*****,満額,,
20260202,20260204,1815,鉄建建設,東証,決算,20260331,4985.00,0,10.00,*****,*****,*****,満額,,
20260202,20260204,1820,西松建設,東証,決算,20260331,5779.00,0,11.60,*****,*****,*****,満額,,
20260202,20260204,1822,大豊建設,東証,決算,20260331,780.00,8900,1.60,0.00,1,*****,,,F
20260202,20260204,1833,奥村組,東証,決算,20260331,6490.00,0,13.00,*****,*****,*****,満額,,
20260202,20260204,1860,戸田建設,東証,決算,20260331,1347.00,2700,2.80,0.00,1,0.00,,,F
20260202,20260204,186A,アストロスケール,東証,決算,20260430,1084.00,0,2.20,*****,*****,*****,満額,,
20260202,20260204,1871,ピーエス,東証,決算,20260331,3045.00,8500,6.20,0.05,1,*****,,,F
20260202,20260204,1879,新日本建設,東証,決算,20260331,1981.00,0,4.00,*****,*****,*****,満額,,
20260202,20260204,1926,ライト工業,東証,決算,20260331,3500.00,0,7.00,*****,*****,*****,満額,,
20260202,20260204,1934,ユアテック,東証,決算,20260331,2705.00,0,5.60,*****,*****,*****,満額,,
20260202,20260204,1939,四電工,東証,決算,20260331,1830.00,6500,3.80,0.05,1,0.05,,,F
