品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260115,20260119,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3854.00,67570,9.00,0.00,1,0.00,,,F
20260115,20260119,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3806.00,8740,60.00,0.00,1,0.00,,,F
20260115,20260119,1320,ｉＦ２２５年１,東証,決算,20260710,56000.00,13230,120.00,5.00,1,5.00,,,F
20260115,20260119,1321,ＮＦ日経２２５,東証,決算,20260708,56230.00,79253,120.00,5.00,1,5.00,,,F
20260115,20260119,1330,上場２２５,東証,決算,20260708,56270.00,8469,120.00,5.00,1,5.00,,,F
20260115,20260119,1346,ＭＸＳ２２５,東証,決算,20260716,55830.00,3092,120.00,5.00,1,5.00,,,F
20260115,20260119,1358,上場日経２倍,東証,決算,20260710,94200.00,3211,400.00,10.00,1,300.00,,注意,A
20260115,20260119,135A,ＶＲＡＩＮ,東証,決算,20260228,3040.00,0,6.20,*****,*****,*****,満額,,
20260115,20260119,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3412.00,0,60.00,*****,*****,*****,満額,,
20260115,20260119,1365,ｉＦ２２５ダブル,東証,決算,20270110,76120.00,3506,320.00,5.00,1,30.00,,注意,D
20260115,20260119,1367,ｉＦＴＰＸダブル,東証,決算,20270110,63670.00,0,140.00,*****,*****,0.00,満額,,
20260115,20260119,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,54350.00,328,120.00,5.00,1,5.00,,,F
20260115,20260119,1399,上場高配当低ボラ,東証,決算,20260408,2859.00,49,60.00,0.00,1,*****,,,F
20260115,20260119,1418,インターライフＨＤ,東証,決算,20260228,635.00,17300,1.40,0.00,1,0.00,,,F
20260115,20260119,1419,タマホーム,東証,決算,20260228,3710.00,402900,15.20,0.20,1,0.15,,注意,C
20260115,20260119,141A,トライアル,東証,決算,20260630,3015.00,497700,6.20,0.15,1,0.05,,,E
20260115,20260119,1429,日本アクア,東証,決算,20260630,882.00,0,1.80,*****,*****,*****,満額,,
20260115,20260119,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,653.00,400,1.40,0.00,1,*****,,,F
20260115,20260119,1433,ベステラ,東証,決算,20260131,1302.00,4500,5.60,0.05,1,*****,,停止,F
20260115,20260119,1457,ｉＦＴＰＸベア,東証,決算,20270110,2044.00,0,60.00,*****,*****,*****,満額,,
20260115,20260119,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,33370.00,99,90.00,5.00,1,5.00,,,E
20260115,20260119,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,43160.00,54,100.00,5.00,1,5.00,,,C
20260115,20260119,147A,ソラコム,東証,決算,20260430,1234.00,28400,2.60,0.05,1,0.00,,,F
20260115,20260119,1486,上場米債ヘッジなし,東証,決算,20260710,24625.00,0,80.00,*****,*****,*****,満額,,
20260115,20260119,1493,Ｏｎｅ・中小型,東証,決算,20260708,23185.00,84,80.00,5.00,1,*****,,,E
20260115,20260119,1494,Ｏｎｅ・高配当日本株,東証,決算,20260408,41900.00,0,100.00,*****,*****,*****,満額,,
20260115,20260119,1514,住石ホールディングス,東証,決算,20260331,630.00,125100,2.80,0.05,1,0.05,,注意,E
20260115,20260119,153A,カウリス,東証,決算,20260630,1293.00,33000,2.60,0.05,1,0.05,,,E
20260115,20260119,1545,ナスダックヘッジ無,東証,決算,20260810,40910.00,4531,100.00,0.00,1,0.00,,,F
20260115,20260119,1546,ダウヘッジ無,東証,決算,20260810,75940.00,20,160.00,0.00,1,0.00,,,F
20260115,20260119,1547,上場米国Ｓ＆Ｐ５００,東証,決算,20260120,11985.00,0,140.00,*****,*****,*****,満額,,
20260115,20260119,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7395.00,0,60.00,*****,*****,*****,満額,,
20260115,20260119,1555,上場インデＡリート,東証,決算,20260310,2539.00,11,60.00,5.00,1,5.00,,,F
20260115,20260119,155A,情報戦略テクノロジー,東証,決算,20260630,1360.00,0,2.80,*****,*****,*****,満額,,
20260115,20260119,1560,ＮＦマレーシア株,東証,決算,20260810,6496.00,0,60.00,*****,*****,*****,満額,,
20260115,20260119,1568,ＴＰレバレッジダブル,東証,決算,20260220,826.50,0,6.00,*****,*****,0.50,満額,,
20260115,20260119,1569,トピックスインバース,東証,決算,20260220,855.00,0,6.00,*****,*****,*****,満額,,
20260115,20260119,1570,ＮＦ日経レバ,東証,決算,20260520,49650.00,137551,100.00,5.00,1,5.00,,,E
20260115,20260119,1573,Ｈ株インバース,東証,決算,20261204,7744.00,90,32.00,0.50,1,0.50,,注意,D
20260115,20260119,1577,ＮＦ日本高配当７０,東証,決算,20260407,52960.00,0,240.00,*****,*****,*****,満額,注意,
20260115,20260119,1578,上場インデ２２５ミニ,東証,決算,20260708,4319.00,581,60.00,0.00,1,0.00,,,F
20260115,20260119,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2448.00,10,8.00,0.00,1,*****,,,E
20260115,20260119,1591,ＮＦＪＰＸ４００,東証,決算,20260407,33140.00,259,90.00,5.00,1,5.00,,,F
20260115,20260119,1592,上場ＪＰＸ日経４００,東証,決算,20260708,3045.00,0,60.00,*****,*****,*****,満額,,
20260115,20260119,1593,ＭＸＳＪＰＸ４００,東証,決算,20260716,33940.00,10,90.00,5.00,1,5.00,,,F
20260115,20260119,1599,ｉＦＪＰＸ日経４００,東証,決算,20260710,33610.00,2,90.00,5.00,1,*****,,,F
20260115,20260119,1617,ＮＦ食品Ｔ１７,東証,決算,20260715,42250.00,14,100.00,5.00,1,5.00,,,F
20260115,20260119,1619,ＮＦ建設資材Ｔ１７,東証,決算,20260715,47000.00,0,100.00,*****,*****,*****,満額,,
20260115,20260119,1622,ＮＦ自動車Ｔ１７,東証,決算,20260715,39390.00,19,90.00,5.00,1,5.00,,,F
20260115,20260119,1624,ＮＦ機械Ｔ１７,東証,決算,20260715,84270.00,14,180.00,5.00,1,5.00,,,F
20260115,20260119,1625,ＮＦ電機精密Ｔ１７,東証,決算,20260715,52800.00,0,120.00,*****,*****,*****,満額,,
20260115,20260119,1628,ＮＦ運輸物流Ｔ１７,東証,決算,20260715,21325.00,57,80.00,5.00,1,5.00,,,F
20260115,20260119,1630,ＮＦ小売Ｔ１７,東証,決算,20260715,37820.00,23,90.00,5.00,1,5.00,,,E
20260115,20260119,1633,ＮＦ不動産Ｔ１７,東証,決算,20260715,56180.00,0,120.00,*****,*****,*****,満額,,
20260115,20260119,1653,ｉＦＥＳＧセレクト,東証,決算,20260710,4776.00,1400,10.00,0.50,1,0.50,,,D
20260115,20260119,1656,ｉＳ米国債七十,東証,決算,20260411,319.90,0,6.00,*****,*****,*****,満額,,
20260115,20260119,1660,ＭＸＳ高利Ｊリート,東証,決算,20260410,11985.00,0,70.00,*****,*****,*****,満額,,
20260115,20260119,1663,Ｋ＆Ｏエナジー,東証,決算,20260630,4240.00,0,8.60,*****,*****,*****,満額,,
20260115,20260119,1671,ＷＴＩ原油ＥＴＦ,東証,決算,20260715,3152.00,105907,60.00,5.00,1,5.00,,,E
20260115,20260119,167A,リョーサン菱洋,東証,決算,20260331,3185.00,0,6.40,*****,*****,*****,満額,,
20260115,20260119,1681,上場ＭＳエマ,東証,決算,20260120,2968.00,0,120.00,*****,*****,*****,満額,,
20260115,20260119,1699,ＮＦ原油先物,東証,決算,20260210,405.90,69890,6.00,0.00,1,0.00,,,F
20260115,20260119,1720,東急建設,東証,決算,20260331,1372.00,0,2.80,*****,*****,*****,満額,,
20260115,20260119,1721,コムシスＨＤ,東証,決算,20260331,4871.00,0,9.80,*****,*****,*****,満額,,
20260115,20260119,1762,高松コンストラクシＧ,東証,決算,20260331,4195.00,30900,8.40,0.15,1,0.15,,,F
20260115,20260119,1766,東建コーポレーション,東証,決算,20260430,14910.00,4600,30.00,0.60,1,0.60,,,F
20260115,20260119,1786,オリエンタル白石,東証,決算,20260331,432.00,42100,1.00,0.00,1,0.00,,,F
20260115,20260119,1808,長谷工コーポ,東証,決算,20260331,3267.00,9400,6.60,0.00,1,0.05,,,F
20260115,20260119,1811,銭高組,東証,決算,20260331,8470.00,0,17.00,*****,*****,*****,満額,,
20260115,20260119,1813,不動テトラ,東証,決算,20260331,3080.00,0,6.20,*****,*****,*****,満額,,
20260115,20260119,1814,大末建設,東証,決算,20260331,3990.00,0,8.00,*****,*****,*****,満額,,
20260115,20260119,1820,西松建設,東証,決算,20260331,5926.00,0,12.00,*****,*****,*****,満額,,
