品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260105,20260107,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3650.00,76280,9.00,0.00,1,0.00,,,F
20260105,20260107,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3607.00,18570,60.00,5.00,1,*****,,,F
20260105,20260107,1320,ｉＦ２２５年１,東証,決算,20260710,53730.00,14110,120.00,5.00,1,5.00,,,F
20260105,20260107,1321,ＮＦ日経２２５,東証,決算,20260708,53890.00,110138,120.00,5.00,1,5.00,,,E
20260105,20260107,1329,ｉＳ２２５,東証,決算,20260209,5406.00,37654,60.00,5.00,1,*****,,,F
20260105,20260107,1330,上場２２５,東証,決算,20260708,53960.00,10967,120.00,5.00,1,5.00,,,F
20260105,20260107,1346,ＭＸＳ２２５,東証,決算,20260116,53910.00,2662,120.00,5.00,1,5.00,,,F
20260105,20260107,1348,ＭＸＳトピクス,東証,決算,20260116,3636.00,752,60.00,5.00,1,*****,,,F
20260105,20260107,1358,上場日経２倍,東証,決算,20260710,86580.00,5135,360.00,5.00,1,5.00,,注意,B
20260105,20260107,135A,ＶＲＡＩＮ,東証,決算,20260228,3165.00,0,6.40,*****,*****,*****,満額,,
20260105,20260107,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3234.00,0,60.00,*****,*****,*****,満額,,
20260105,20260107,1365,ｉＦ２２５ダブル,東証,決算,20260110,70070.00,5497,320.00,5.00,1,5.00,,,C
20260105,20260107,1367,ｉＦＴＰＸダブル,東証,決算,20260110,57320.00,0,240.00,*****,*****,*****,満額,,
