"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2025/12/24","2025/12/26","1301","極洋","東証およびＰＴＳ",,"確報",0,100,2700,100,100,400,2300,0,486500,13135500,486500,486500,1946000,11189500,,,0,0,42000,0,0,6000,4.9,4.7,5.3,5,2.2,11,3.7
"2025/12/24","2025/12/26","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",220,0,13450,430,20,10460,2990,793980,0,48541050,1551870,72180,37750140,10790910,,,0,0,0,211680,160800,0,54.9,45.3,110,64.2,53.4,40.5,46.1
"2025/12/24","2025/12/26","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",11520,0,61040,6030,46830,30020,31020,41160960,0,218095920,21545190,167323590,107261460,110834460,,,0,0,0,742800,1062300,0,6.6,11,7.2,8.7,8.1,4,5.3
"2025/12/24","2025/12/26","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",5310,2130,15185,3,7698,8891,6294,18760230,7525290,53648605,10599,27197034,31411903,22236702,,,0,0,0,168070,232204,0,5.7,6.1,5.1,5.5,7.1,4.9,5.8
"2025/12/24","2025/12/26","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",21,0,62,0,0,0,62,1119930,0,3306460,0,0,0,3306460,,,0,0,0,2460,0,0,18.1,9.8,113,18.1,0,0,0
"2025/12/24","2025/12/26","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",900,600,11600,0,0,0,11600,549000,366000,7076000,0,0,0,7076000,,,0,0,1130000,0,0,0,4.4,4,4.9,4.4,0,0,0
"2025/12/24","2025/12/26","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,0,2174,0,0,108,2066,0,0,3878416,0,0,192672,3685744,,,0,0,0,13044,648,0,19.7,160.4,11.2,21,2,0,4
"2025/12/24","2025/12/26","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025/12/24","2025/12/26","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,1568,497,312,12406,-10838,0,0,81677120,25888730,16252080,646228540,-564551420,,,0,0,0,0,0,0,16.4,74.3,71,72.6,10.9,22.6,14.7
"2025/12/24","2025/12/26","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",4633,135,9995,2531,7978,81776,-71781,242027920,7052400,522138800,132219440,416770720,4271978240,-3749839440,,,0,0,0,329820,5233380,0,14.3,4.8,5.5,5.2,17.5,16.4,16.9
"2025/12/24","2025/12/26","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,341,0,0,0,341,0,0,3713490,0,0,0,3713490,,,0,0,6820,0,0,0,0,0,0,0,0,0,0
"2025/12/24","2025/12/26","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",100,0,7500,400,0,400,7100,25130,0,1884750,100520,0,100520,1784230,,,0,0,17020,0,0,0,5.4,6,5,5.5,1,0,2
"2025/12/24","2025/12/26","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",77,0,798,0,0,0,798,4949560,0,51295440,0,0,0,51295440,,,0,0,0,14420,0,0,40.5,22,259.1,40.5,0,0,0
"2025/12/24","2025/12/26","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",3453,193,34019,0,0,0,34019,57526980,3215380,566756540,0,0,0,566756540,,,0,0,0,615180,0,0,23.1,17.3,34.8,23.1,0,0,0
"2025/12/24","2025/12/26","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",1593,1604,28186,51,62,28186,0,8348913,8406564,147722826,267291,324942,147722826,0,,,0,0,112788,0,0,112788,5.1,5.3,5.3,5.3,4.9,4.9,4.9
"2025/12/24","2025/12/26","1330","上場２２５","東証およびＰＴＳ",,"確報",0,0,1099,1557,283,7700,-6601,0,0,57532650,81508950,14815050,403095000,-345562350,,,0,0,0,54950,321300,0,10.4,68.6,9.7,17.1,6.5,17.2,9.5
