品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260213,20260217,1305,ｉＦＴＰＸ年１,東証,決算,20260710,4053.00,190,10.00,0.50,1,0.50,,,F
20260213,20260217,1320,ｉＦ２２５年１,東証,決算,20260710,59020.00,9239,120.00,5.00,1,5.00,,,F
20260213,20260217,1321,ＮＦ日経２２５,東証,決算,20260708,59200.00,36170,120.00,0.00,1,5.00,,,F
20260213,20260217,1330,上場２２５,東証,決算,20260708,59310.00,4003,120.00,5.00,1,5.00,,,F
20260213,20260217,1332,ニッスイ,東証,決算,20260331,1538.00,0,3.20,*****,*****,*****,満額,,
20260213,20260217,133A,ＧＸ超短期米国債,東証,決算,20260324,1037.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,1346,ＭＸＳ２２５,東証,決算,20260716,58820.00,1364,120.00,5.00,1,5.00,,,F
20260213,20260217,1358,上場日経２倍,東証,決算,20260710,104000.00,2915,440.00,5.00,1,5.00,,注意,B
20260213,20260217,135A,ＶＲＡＩＮ,東証,決算,20260228,2439.00,0,5.00,*****,*****,*****,満額,,
20260213,20260217,1364,ｉＳＪＰＸ日経４００,東証,決算,20260809,3526.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,1365,ｉＦ２２５ダブル,東証,決算,20270110,83940.00,1250,360.00,5.00,1,5.00,,注意,D
20260213,20260217,1367,ｉＦＴＰＸダブル,東証,決算,20270110,68750.00,0,140.00,*****,*****,0.00,満額,,
20260213,20260217,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,57310.00,312,120.00,5.00,1,5.00,,,F
20260213,20260217,1377,サカタのタネ,東証,決算,20260531,4255.00,0,8.60,*****,*****,*****,満額,,
20260213,20260217,1414,ショーボンドＨＤ,東証,決算,20260630,1394.00,0,2.80,*****,*****,*****,満額,,
20260213,20260217,1418,インターライフＨＤ,東証,決算,20260228,583.00,1000,2.40,0.05,1,0.05,,停止,F
20260213,20260217,1419,タマホーム,東証,決算,20260228,3860.00,300500,15.60,0.20,1,0.20,,停止,C
20260213,20260217,141A,トライアル,東証,決算,20260630,3890.00,70000,7.80,0.00,1,0.05,,,F
20260213,20260217,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,644.00,9500,1.40,0.00,1,0.05,,,F
20260213,20260217,1433,ベステラ,東証,決算,20260731,1211.00,0,2.60,*****,*****,*****,満額,,
20260213,20260217,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,34820.00,0,90.00,*****,*****,*****,満額,,
20260213,20260217,1476,ｉＳＪリート,東証,決算,20260509,2042.00,4139,60.00,5.00,1,*****,,,F
20260213,20260217,1477,ｉＳＭＳＣＩ最小分散,東証,決算,20260809,3252.00,23,60.00,0.00,1,0.00,,,F
20260213,20260217,147A,ソラコム,東証,決算,20260430,1212.00,33100,2.60,0.05,1,0.05,,,F
20260213,20260217,1482,ｉＳ米国債七十円へジ,東証,決算,20260411,1630.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,1488,ｉＦＪリート,東証,決算,20260304,2062.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,1493,Ｏｎｅ・中小型,東証,決算,20260708,24090.00,0,80.00,*****,*****,*****,満額,,
20260213,20260217,1497,ｉＳ米＄ＨＹ社債ヘジ,東証,決算,20260411,1791.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,1514,住石ホールディングス,東証,決算,20260331,915.00,0,4.00,*****,*****,*****,満額,停止,
20260213,20260217,153A,カウリス,東証,決算,20260630,1296.00,29300,2.60,0.10,1,0.10,,,E
20260213,20260217,1545,ナスダックヘッジ無,東証,決算,20260810,38150.00,518,90.00,0.00,1,0.00,,,F
20260213,20260217,1546,ダウヘッジ無,東証,決算,20260810,73810.00,0,160.00,*****,*****,*****,満額,,
20260213,20260217,1555,上場インデＡリート,東証,決算,20260310,2491.00,84,60.00,5.00,1,5.00,,,F
20260213,20260217,1559,ＮＦタイ株,東証,決算,20260810,4464.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,155A,情報戦略テクノロジー,東証,決算,20260630,1230.00,0,2.60,*****,*****,*****,満額,,
20260213,20260217,1569,トピックスインバース,東証,決算,20260220,818.50,0,12.00,*****,*****,*****,満額,,
20260213,20260217,1573,Ｈ株インバース,東証,決算,20261204,7689.00,500,32.00,0.50,1,0.50,,注意,D
20260213,20260217,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2536.50,10,8.00,0.50,1,0.50,,,F
20260213,20260217,1592,上場ＪＰＸ日経４００,東証,決算,20260708,3168.00,0,60.00,*****,*****,*****,満額,,
20260213,20260217,1593,ＭＸＳＪＰＸ４００,東証,決算,20260716,35530.00,0,90.00,*****,*****,*****,満額,,
20260213,20260217,1617,ＮＦ食品Ｔ１７,東証,決算,20260715,45920.00,0,100.00,*****,*****,*****,満額,,
20260213,20260217,1624,ＮＦ機械Ｔ１７,東証,決算,20260715,94380.00,0,200.00,*****,*****,*****,満額,,
20260213,20260217,1625,ＮＦ電機精密Ｔ１７,東証,決算,20260715,52790.00,83,120.00,5.00,1,5.00,,,F
