品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260127,20260129,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3692.00,0,60.00,*****,*****,*****,満額,,
20260127,20260129,1320,ｉＦ２２５年１,東証,決算,20260710,55130.00,9340,120.00,5.00,1,5.00,,,F
20260127,20260129,1321,ＮＦ日経２２５,東証,決算,20260708,55340.00,49367,120.00,5.00,1,5.00,,,F
20260127,20260129,1330,上場２２５,東証,決算,20260708,55440.00,3508,120.00,5.00,1,5.00,,,F
20260127,20260129,1332,ニッスイ,東証,決算,20260331,1303.50,0,2.80,*****,*****,*****,満額,,
20260127,20260129,1346,ＭＸＳ２２５,東証,決算,20260716,55010.00,1068,120.00,5.00,1,5.00,,,F
20260127,20260129,1358,上場日経２倍,東証,決算,20260710,91040.00,1678,400.00,5.00,1,5.00,,注意,D
20260127,20260129,135A,ＶＲＡＩＮ,東証,決算,20260228,2665.00,0,5.40,*****,*****,*****,満額,,
20260127,20260129,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3303.00,0,60.00,*****,*****,*****,満額,,
20260127,20260129,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,53440.00,23,120.00,5.00,1,5.00,,,F
20260127,20260129,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,53680.00,6,120.00,5.00,1,*****,,,F
20260127,20260129,1418,インターライフＨＤ,東証,決算,20260228,610.00,600,1.40,0.00,1,0.05,,,F
20260127,20260129,1419,タマホーム,東証,決算,20260228,3710.00,370800,15.20,0.20,1,0.20,,停止,C
20260127,20260129,141A,トライアル,東証,決算,20260630,3085.00,221000,6.20,0.10,1,0.10,,,F
20260127,20260129,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,640.00,14300,1.40,0.05,1,0.05,,,F
20260127,20260129,1433,ベステラ,東証,決算,20260131,1341.00,6900,11.20,0.05,1,0.05,,停止,F
20260127,20260129,1457,ｉＦＴＰＸベア,東証,決算,20270110,2107.00,0,60.00,*****,*****,*****,満額,,
20260127,20260129,1473,Ｏｎｅ・トピックス,東証,決算,20260708,3629.00,520,9.00,0.50,1,0.50,,,E
20260127,20260129,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,32440.00,7,90.00,0.00,1,0.00,,,F
20260127,20260129,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,53,100.00,5.00,1,5.00,,,D
20260127,20260129,147A,ソラコム,東証,決算,20260430,1110.00,42700,2.40,0.05,1,0.05,,,F
20260127,20260129,1487,上場米債ヘッジあり,東証,決算,20260710,12385.00,0,70.00,*****,*****,*****,満額,,
20260127,20260129,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260410,9106.00,18,60.00,5.00,1,0.00,,,F
