"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/02/13","2026/02/17","1301","極洋","東証およびＰＴＳ",,"確報",0,600,2800,0,0,400,2400,0,3156000,14728000,0,0,2104000,12624000,,,0,0,0,102000,12000,0,8.4,9.9,11.3,10.5,23,1.9,3.5
"2026/02/13","2026/02/17","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",2410,0,12000,1300,0,12190,-190,9767730,0,48636000,5268900,0,49406070,-770070,,,0,0,0,623350,707850,0,15.5,17.5,16.9,17.2,11.7,17.3,14
"2026/02/13","2026/02/17","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",11400,48250,54890,18240,85930,34760,20130,45736800,193579000,220218680,73178880,344751160,139457120,80761560,,,0,0,0,5963100,6659250,0,2.6,2.9,3.4,3.1,1.9,2.1,2
"2026/02/13","2026/02/17","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",360,750,5235,100,6599,4301,934,1427400,2973750,20756775,396500,26165035,17053465,3703310,,,0,0,0,337500,648000,0,4.1,4.4,3.4,3.9,5.1,3.6,4.2
"2026/02/13","2026/02/17","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,5.7,66.5,3,5.7,0,0,0
"2026/02/13","2026/02/17","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",100,400,18500,0,0,0,18500,47500,190000,8787500,0,0,0,8787500,,,0,0,0,94000,0,0,33.5,36.7,30.8,33.5,0,0,0
"2026/02/13","2026/02/17","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,0,3270,100,0,2225,1045,0,0,6530190,199700,0,4443325,2086865,,,0,0,0,32700,21250,0,5.9,11.6,3.4,5.3,4.9,0,9.8
"2026/02/13","2026/02/17","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/02/13","2026/02/17","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",1,0,1563,529,2479,10802,-9239,59020,0,92248260,31221580,146310580,637534040,-545285780,,,0,0,0,1077780,8798880,0,12,16.7,9.9,12.4,11.1,12.8,11.9
"2026/02/13","2026/02/17","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",4024,0,6779,739,10053,42949,-36170,238220800,0,401316800,43748800,595137600,2542580800,-2141264000,,,0,0,0,1956050,37106730,0,5.8,3.4,2.1,2.6,8.1,8.3,8.2
"2026/02/13","2026/02/17","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,320,0,0,0,320,0,0,3585600,0,0,0,3585600,,,0,0,0,48000,0,0,9.8,12,8.3,9.8,0,0,0
"2026/02/13","2026/02/17","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,120,1760,0,0,0,1760,0,36708,538384,0,0,0,538384,,,0,0,0,5076,0,0,5.1,32.5,3.2,5.9,0,0,0
"2026/02/13","2026/02/17","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",0,10,556,0,0,0,556,0,697200,38764320,0,0,0,38764320,,,0,0,0,888620,0,0,16.7,13.1,23.1,16.7,0,0,0
"2026/02/13","2026/02/17","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",1397,168,16599,0,0,0,16599,25159970,3025680,298947990,0,0,0,298947990,,,0,0,0,6224850,0,0,22.2,25.3,19.7,22.2,0,0,0
