"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/05","2026/01/07","1301","極洋","東証およびＰＴＳ",,"確報",400,0,2500,0,0,200,2300,1948000,0,12175000,0,0,974000,11201000,,,0,0,0,10500,1000,0,16.6,20.2,15.1,17.3,0,6,12
"2026/01/05","2026/01/07","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",10,1130,11160,250,10,9480,1680,36860,4165180,41135760,921500,36860,34943280,6192480,,,0,0,896440,0,0,674520,31.4,38.7,15.3,21.9,180.9,39.1,64.3
"2026/01/05","2026/01/07","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",0,3770,13390,26400,1580,89670,-76280,0,13760500,48873500,96360000,5767000,327295500,-278422000,,,0,0,1218360,0,0,4604350,4.2,383.6,2.6,5.1,2.8,6.7,4
"2026/01/05","2026/01/07","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",100,3575,4975,15524,58,23545,-18570,360700,12895025,17944825,55995068,209206,84926815,-66981990,,,0,0,574600,0,0,549372,4.1,8.6,3.2,4.6,2.4,8.6,3.7
"2026/01/05","2026/01/07","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,1,0,0,0,1,0,0,55600,0,0,0,55600,,,0,0,1600,0,0,0,0.2,0,0.1,0.2,0,0,0
"2026/01/05","2026/01/07","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",2400,0,17600,0,0,0,17600,1140000,0,8360000,0,0,0,8360000,,,0,0,0,76000,0,0,6.1,4.9,8.3,6.1,0,0,0
"2026/01/05","2026/01/07","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,0,2320,100,0,108,2212,0,0,4252560,183300,0,197964,4054596,,,0,0,113680,0,0,392,33.8,35.3,64.8,45.7,4.4,4.4,4.4
"2026/01/05","2026/01/07","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/05","2026/01/07","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,1556,2636,22,15666,-14110,0,0,83603880,141632280,1182060,841734180,-758130300,,,0,0,2598520,0,0,21796840,14.3,0,650.3,1300.7,9.8,18.6,12.9
"2026/01/05","2026/01/07","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",0,5996,2635,31406,0,112773,-110138,0,323124440,142000150,1692469340,0,6077336970,-5935336820,,,0,0,13550670,0,0,127746190,14.1,18,4,6.5,10.1,36,15.7
"2026/01/05","2026/01/07","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,3.8,0,1.9,3.8,0,0,0
"2026/01/05","2026/01/07","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",0,100,360,0,0,0,360,0,25750,92700,0,0,0,92700,,,0,0,3496,0,0,0,0.6,22.7,0.3,0.6,0,0.5,1
"2026/01/05","2026/01/07","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",28,0,948,0,0,0,948,1789760,0,60596160,0,0,0,60596160,,,0,0,1131600,0,0,0,9.7,8.3,11.6,9.7,0,0,0
"2026/01/05","2026/01/07","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",927,1009,11932,0,0,100,11832,15327945,16683815,197295620,0,0,1653500,195642120,,,0,0,3183710,0,0,26500,3.8,13.5,2.2,3.8,2,0,4
"2026/01/05","2026/01/07","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",262,8518,16232,37500,8102,53886,-37654,1416372,46048308,87750192,202725000,43799412,291307716,-203557524,,,0,0,4016032,0,0,4016032,5.8,12.5,5.8,8,3.5,7.6,4.8
"2026/01/05","2026/01/07","1330","上場２２５","東証およびＰＴＳ",,"確報",0,250,1070,3105,47,12037,-10967,0,13490000,57737200,167545800,2536120,649516520,-591779320,,,0,0,2112000,0,0,14366400,12.5,13.2,12.6,12.9,8,28.2,12.4
"2026/01/05","2026/01/07","1332","ニッスイ","東証およびＰＴＳ",,"確報",0,300,11600,0,3000,2300,9300,0,342000,13224000,0,3420000,2622000,10602000,,,0,0,0,47600,21200,0,13.1,43.2,15.1,22.4,17.1,4.1,6.6
"2026/01/05","2026/01/07","1333","マルハニチロ","東証およびＰＴＳ",,"確報",1400,7000,14000,100,9100,10600,3400,1830500,9152500,18305000,130750,11898250,13859500,4445500,,,0,0,421400,0,0,421400,4.5,7,2.9,4.1,5.3,5.4,5.4
"2026/01/05","2026/01/07","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",0,0,709,0,0,0,709,0,0,752958,0,0,0,752958,,,0,0,5672,0,0,0,5.8,0,2.9,5.8,0,0,0
"2026/01/05","2026/01/07","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",40,50530,73220,0,480,32400,40820,87280,110256460,159766040,0,1047360,70696800,89069240,,,0,0,185565,0,0,49320,14.5,131.3,6,11.5,133.7,336.9,191.4
"2026/01/05","2026/01/07","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",0,200,1500,700,0,700,800,0,410800,3081000,1437800,0,1437800,1643200,,,0,0,0,3400,0,0,6.3,19,6.3,9.5,1.7,2.4,2
"2026/01/05","2026/01/07","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",0,73,1556,1412,2,4218,-2662,0,3935430,83883960,76120920,107820,227392380,-143508420,,,0,0,2524950,0,0,4352400,8.7,0,71.2,142.4,5.3,7.2,6.1
"2026/01/05","2026/01/07","1348","ＭＸＳトピクス","東証およびＰＴＳ",,"確報",0,0,4830,3866,0,5582,-752,0,0,17561880,14056776,0,20296152,-2734272,,,0,0,342930,0,0,121836,15,0,0,0,3.4,12.5,5.3
"2026/01/05","2026/01/07","1349","アジア債券","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/05","2026/01/07","1356","ＴＰダブルインバース","東証およびＰＴＳ",,"確報",48420,51310,227190,3140,0,25780,201410,7940880,8414840,37259160,514960,0,4227920,33031240,,,0,0,0,1702592,167536,0,5,7.8,3.6,4.9,3.9,38.5,7.1
"2026/01/05","2026/01/07","1357","ＮＦ日経ダブインバ","東証およびＰＴＳ",,"確報",150162,550,800233,21992,15008,243589,556644,824239218,3018950,4392478937,120714088,82378912,1337060021,3055418916,,,0,0,0,229669213,83521565,0,22,18.6,25.7,21.6,19.8,28.4,23.4
"2026/01/05","2026/01/07","1358","上場日経２倍","東証およびＰＴＳ",,"確報",0,1386,2,2558,0,5137,-5135,0,119999880,173160,221471640,0,444761460,-444588300,,,0,0,6898360,0,0,12817630,5.6,7.2,2.1,3.2,4.7,17.3,7.3
"2026/01/05","2026/01/07","135A","ＶＲＡＩＮ","東証およびＰＴＳ",,"確報",200,200,54500,100,100,54500,0,633000,633000,172492500,316500,316500,172492500,0,,,0,0,0,272500,272500,0,56.2,36.1,44.5,39.8,76.2,127,95.3
"2026/01/05","2026/01/07","1360","ダブルインバース日経","東証およびＰＴＳ",,"確報",1550180,0,6048710,0,0,10,6048700,209274300,0,816575850,0,0,1350,816574500,,,0,0,0,37787652,84,0,7.8,15.2,5.3,7.8,3,3,3
"2026/01/05","2026/01/07","1364","ｉＳＪＰＸ日経４００","東証およびＰＴＳ",,"確報",0,0,12,0,0,12,0,0,0,38808,0,0,38808,0,,,0,0,732,0,0,732,2.2,5,0.6,1.1,0,0,0
"2026/01/05","2026/01/07","1365","ｉＦ２２５ダブル","東証およびＰＴＳ",,"確報",0,774,273,2578,60,5770,-5497,0,54234180,19129110,180640460,4204200,404303900,-385174790,,,0,0,4146120,0,0,12877920,6,3.5,2.9,3.2,5.4,9.6,6.9
"2026/01/05","2026/01/07","1366","ｉＦ２２５Ｗベア","東証およびＰＴＳ",,"確報",281877,468,680813,0,0,0,680813,38899026,64584,93952194,0,0,0,93952194,,,0,0,0,3594636,0,0,6.5,7.7,5.8,6.6,0,0,0
"2026/01/05","2026/01/07","1367","ｉＦＴＰＸダブル","東証およびＰＴＳ",,"確報",234,138,689,116,0,689,0,13412880,7910160,39493480,6649120,0,39493480,0,,,0,0,1357970,0,0,1312170,6.7,4.4,3.8,4.1,16.2,23.8,19.2
"2026/01/05","2026/01/07","1368","ｉＦＴＰＸＷベア","東証およびＰＴＳ",,"確報",0,127,2130,23,1059,75,2055,0,30099,504810,5451,250983,17775,487035,,,0,0,0,24827,12221,0,0.8,1592,0.3,0.6,79.2,4.2,7.9
"2026/01/05","2026/01/07","1369","Ｏｎｅ・日経２２５","東証およびＰＴＳ",,"確報",0,0,0,477,0,776,-776,0,0,0,24951870,0,40592560,-40592560,,,0,0,0,0,0,424580,4.8,2.5,0.3,0.5,4.1,282.4,8.1
"2026/01/05","2026/01/07","1375","ユキグニファクトリー","東証およびＰＴＳ",,"確報",0,0,700,0,0,0,700,0,0,732900,0,0,0,732900,,,0,0,0,3500,0,0,12.4,0,6.2,12.4,0,0,0
"2026/01/05","2026/01/07","1376","カネコ種苗","東証およびＰＴＳ",,"確報",400,0,1300,0,0,0,1300,656800,0,2134600,0,0,0,2134600,,,0,0,15300,0,0,0,15,7.5,0,15,0,0,0
"2026/01/05","2026/01/07","1377","サカタのタネ","東証およびＰＴＳ",,"確報",1800,100,16400,1700,0,16400,0,7776000,432000,70848000,7344000,0,70848000,0,,,0,0,735000,0,0,735000,23,11.5,72.3,19.8,13.6,0,27.3
"2026/01/05","2026/01/07","1379","ホクト","東証およびＰＴＳ",,"確報",0,0,200,0,200,100,100,0,0,403400,0,403400,201700,201700,,,0,0,0,1400,2100,0,2.6,11,3.7,5.5,2,1,1.3
"2026/01/05","2026/01/07","137A","Ｃｏｃｏｌｉｖｅ","東証およびＰＴＳ",,"確報",200,0,1600,0,0,0,1600,208800,0,1670400,0,0,0,1670400,,,0,0,0,4200,0,0,24.7,18.5,37,24.7,0,0,0
"2026/01/05","2026/01/07","1380","秋川牧園","東証およびＰＴＳ",,"確報",0,100,400,0,0,0,400,0,101000,404000,0,0,0,404000,,,0,0,1000,0,0,0,21,21,21,21,0,0,0
"2026/01/05","2026/01/07","1381","アクシーズ","東証およびＰＴＳ",,"確報",0,0,2500,0,0,0,2500,0,0,10412500,0,0,0,10412500,,,0,0,50000,0,0,0,244,122,0,244,0,0,0
"2026/01/05","2026/01/07","1382","ホーブ","東証およびＰＴＳ",,"確報",0,100,2800,0,0,0,2800,0,179500,5026000,0,0,0,5026000,,,0,0,5800,0,0,0,10.7,10.7,10.7,10.7,0,0,0
"2026/01/05","2026/01/07","1383","ベルグアース","東証およびＰＴＳ",,"確報",300,0,2500,0,0,0,2500,963000,0,8025000,0,0,0,8025000,,,0,0,33000,0,0,0,38,22.8,114,38,0,0,0
"2026/01/05","2026/01/07","1384","ホクリヨウ","東証およびＰＴＳ",,"確報",1100,0,18500,0,0,0,18500,3382500,0,56887500,0,0,0,56887500,,,0,0,1044000,0,0,0,28.2,17.6,71.8,28.2,0,0,0
"2026/01/05","2026/01/07","138A","光フードサービス","東証およびＰＴＳ",,"確報",0,0,300,0,0,0,300,0,0,810900,0,0,0,810900,,,0,0,0,11100,0,0,28,14,0,28,0,0,0
"2026/01/05","2026/01/07","1397","ＳＭＤＡＭ　２２５","東証およびＰＴＳ",,"確報",0,0,0,0,0,11,-11,0,0,0,0,0,576510,-576510,,,0,0,0,0,0,16060,7.6,0,0,0,8,7.2,7.6
"2026/01/05","2026/01/07","1398","ＳＭＤＡＭ　Ｊリート","東証およびＰＴＳ",,"確報",140,0,230,0,0,220,10,289870,0,476215,0,0,455510,20705,,,0,0,0,180,440,0,4.9,2.2,3.6,2.8,6.3,107,11.9
"2026/01/05","2026/01/07","1399","上場高配当低ボラ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/05","2026/01/07","1401","エムビーエス","東証およびＰＴＳ",,"確報",0,0,3600,0,0,0,3600,0,0,4842000,0,0,0,4842000,,,0,0,28800,0,0,0,59.3,44.5,89,59.3,0,0,0
"2026/01/05","2026/01/07","1407","ウエストＨＤ","東証およびＰＴＳ",,"確報",600,2800,48400,600,0,2600,45800,945000,4410000,76230000,945000,0,4095000,72135000,,,0,0,2378200,0,0,94000,21.2,21.1,22.8,21.9,12.1,12.1,12.1
"2026/01/05","2026/01/07","140A","ｉＦ米１０国債ベア","東証およびＰＴＳ",,"確報",0,0,0,25,0,25,-25,0,0,0,48875,0,48875,-48875,,,0,0,0,0,0,0,1.5,0,0,0,1,0,2
"2026/01/05","2026/01/07","1414","ショーボンドＨＤ","東証およびＰＴＳ",,"確報",900,97000,75000,1100,600,73800,1200,1188900,128137000,99075000,1453100,792600,97489800,1585200,,,0,0,0,513300,219900,0,3.3,6.5,3.3,4.4,2.3,1.7,2
"2026/01/05","2026/01/07","1417","ミライト・ワン","東証およびＰＴＳ",,"確報",1000,0,11800,500,100,4800,7000,3541000,0,41783800,1770500,354100,16996800,24787000,,,0,0,388800,0,0,158400,10.4,10.1,10.3,10.2,10.8,10.8,10.8
"2026/01/05","2026/01/07","1418","インターライフＨＤ","東証およびＰＴＳ",,"確報",200,2200,26400,700,600,79500,-53100,141400,1555400,18664800,494900,424200,56206500,-37541700,,,0,0,0,113600,317600,0,18.1,13.4,32.6,19,34.6,12.1,17.9
"2026/01/05","2026/01/07","1419","タマホーム","東証およびＰＴＳ",,"確報",0,0,11700,18000,100,321900,-310200,0,0,42178500,64890000,360500,1160449500,-1118271000,,,0,0,292500,0,0,7600000,32.8,28.9,61,39.2,18.7,128.4,32.6
"2026/01/05","2026/01/07","141A","トライアル","東証およびＰＴＳ",,"確報",1900,35200,136900,2000,100,713600,-576700,6013500,111408000,433288500,6330000,316500,2258544000,-1825255500,,,0,0,11063000,0,0,46260500,38.7,25.3,5.8,9.4,250.6,462.2,325
"2026/01/05","2026/01/07","1420","サンヨーホームズ","東証およびＰＴＳ",,"確報",800,200,6300,0,200,0,6300,582400,145600,4586400,0,145600,0,4586400,,,0,0,79800,0,0,2800,18.8,14.7,39.9,21.5,1.5,1.5,1.5
"2026/01/05","2026/01/07","1429","日本アクア","東証およびＰＴＳ",,"確報",0,3400,9300,200,5900,7000,2300,0,2941000,8044500,173000,5103500,6055000,1989500,,,0,0,25400,0,0,25400,2.3,3,2.7,2.9,2.1,2.1,2.1
"2026/01/05","2026/01/07","142A","ジンジブ","東証およびＰＴＳ",,"確報",0,0,3700,0,0,0,3700,0,0,2652900,0,0,0,2652900,,,0,0,0,29600,0,0,38.8,64.7,27.7,38.8,0,0,0
"2026/01/05","2026/01/07","1430","ファーストコーポ","東証およびＰＴＳ",,"確報",400,0,3700,0,0,0,3700,395600,0,3659300,0,0,0,3659300,,,0,0,36300,0,0,0,43.5,42.5,170,68,4,2,2.7
"2026/01/05","2026/01/07","1431","Ｌｉｂ　Ｗｏｒｋ","東証およびＰＴＳ",,"確報",9500,8700,83400,2400,1600,83400,0,6203500,5681100,54460200,1567200,1044800,54460200,0,,,0,0,0,165200,165200,0,7.8,4.3,8.6,5.8,9.8,12.1,10.8
"2026/01/05","2026/01/07","1433","ベステラ","東証およびＰＴＳ",,"確報",7100,5900,62800,2400,5300,62800,0,9095100,7557900,80446800,3074400,6789300,80446800,0,,,0,0,0,1416800,1511100,0,24.7,15.7,16.9,16.3,45.5,57.9,51
"2026/01/05","2026/01/07","1434","ＪＥＳＣＯ　ＨＤ","東証およびＰＴＳ",,"確報",700,1000,3400,0,100,0,3400,1042300,1489000,5062600,0,148900,0,5062600,,,0,0,0,7400,200,0,7.7,12.7,12.7,12.7,12,1.7,3
"2026/01/05","2026/01/07","1435","ｒｏｂｏｔ　ｈｏｍｅ","東証およびＰＴＳ",,"確報",10600,0,62000,0,0,0,62000,1802000,0,10540000,0,0,0,10540000,,,0,0,0,308400,0,0,11.1,9.5,13.5,11.1,0,0,0
"2026/01/05","2026/01/07","1436","グリーンエナジー","東証およびＰＴＳ",,"確報",400,300,17500,0,0,0,17500,996000,747000,43575000,0,0,0,43575000,,,0,0,957000,0,0,0,8.6,4.9,34.1,8.6,0,0,0
"2026/01/05","2026/01/07","1438","岐阜造園","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/05","2026/01/07","143A","イシン","東証およびＰＴＳ",,"確報",0,0,1200,0,0,0,1200,0,0,960000,0,0,0,960000,,,0,0,0,30000,0,0,7,15.4,4.5,7,0,0,0
"2026/01/05","2026/01/07","1443","技研ホールディングス","東証およびＰＴＳ",,"確報",0,1900,9500,0,0,0,9500,0,499700,2498500,0,0,0,2498500,,,0,0,91200,0,0,0,8.3,24.6,5,8.3,0,0,0
"2026/01/05","2026/01/07","1444","ニッソウ","東証およびＰＴＳ",,"確報",0,300,800,0,0,0,800,0,867000,2312000,0,0,0,2312000,,,0,0,0,30800,0,0,21.2,53,13.3,21.2,0,0,0
"2026/01/05","2026/01/07","1446","キャンディル","東証およびＰＴＳ",,"確報",0,100,4500,100,100,1800,2700,0,56300,2533500,56300,56300,1013400,1520100,,,0,0,9200,0,0,3600,71.1,0,229,458,22.8,22.8,22.8
"2026/01/05","2026/01/07","1447","ＳＡＡＦＨＤ","東証およびＰＴＳ",,"確報",0,1600,28200,0,0,0,28200,0,433600,7642200,0,0,0,7642200,,,0,0,29800,0,0,0,15.9,12.7,21.1,15.9,0,0,0
"2026/01/05","2026/01/07","1450","ＴＡＮＡＫＥＮ","東証およびＰＴＳ",,"確報",100,0,9600,0,0,0,9600,141300,0,13564800,0,0,0,13564800,,,0,0,0,47500,0,0,317.3,238,476,317.3,0,0,0
"2026/01/05","2026/01/07","1456","ｉＦ２２５ベア","東証およびＰＴＳ",,"確報",700,0,1701,0,424,575,1126,1201200,0,2918916,0,727584,986700,1932216,,,0,0,0,56056,55944,0,1.4,5.8,0.5,0.9,16.3,9.6,12.1
"2026/01/05","2026/01/07","1457","ｉＦＴＰＸベア","東証およびＰＴＳ",,"確報",1,0,503,20,0,20,483,2159,0,1085977,43180,0,43180,1042797,,,0,0,0,31626,0,0,4,2,0,4,1,0,2
