"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/26","2026/01/28","1301","極洋","東証およびＰＴＳ",,"確報",300,300,3100,300,100,800,2300,1506000,1506000,15562000,1506000,502000,4016000,11546000,,,0,0,62000,0,0,12000,7.3,7.8,6.6,7.2,7.2,9,8
"2026/01/26","2026/01/28","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",440,1620,12280,370,190,9400,2880,1657040,6100920,46246480,1393420,715540,35400400,10846080,,,0,0,0,1103720,756040,0,16.3,12.9,26.1,17.3,13.6,17.5,15.3
"2026/01/26","2026/01/28","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",14670,0,27130,13350,35900,48100,-20970,54704430,0,101167770,49782150,133871100,179364900,-78197130,,,0,0,0,1046640,5934600,0,4.4,3.1,5.6,3.9,6.1,3.7,4.6
"2026/01/26","2026/01/28","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",7000,2480,12124,0,8259,12124,0,25781000,9133840,44652692,0,30417897,44652692,0,,,0,0,0,600716,1610257,0,8.5,4.9,10,6.5,28.6,6.2,10.1
"2026/01/26","2026/01/28","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,32,0,0,0,32,0,0,1729600,0,0,0,1729600,,,0,0,0,41600,0,0,8,4,0,8,0,0,0
"2026/01/26","2026/01/28","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",0,1700,19600,0,0,0,19600,0,814300,9388400,0,0,0,9388400,,,0,0,21300,0,0,0,11.4,11.7,11.1,11.4,0,0,0
"2026/01/26","2026/01/28","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",250,340,3645,0,0,50,3595,464500,631720,6772410,0,0,92900,6679510,,,0,0,0,156870,2100,0,13,9.2,45.3,15.3,0,1.5,3
"2026/01/26","2026/01/28","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/26","2026/01/28","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,2310,1556,40,796,11078,-9522,0,126380100,85128760,2188400,43549160,606077380,-520948620,,,0,0,0,3866000,11834000,0,12.9,6.4,6.3,6.3,23.8,13.1,16.9
"2026/01/26","2026/01/28","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",656,0,8497,2084,14901,50807,-42310,36066880,0,467165060,114578320,819256980,2793368860,-2326203800,,,0,0,0,7684180,62351520,0,7.2,7,8.4,7.6,15.1,4.7,7.1
"2026/01/26","2026/01/28","1322","上場パンタ","東証およびＰＴＳ",,"確報",320,0,532,0,0,0,532,3568000,0,5931800,0,0,0,5931800,,,0,0,0,44520,0,0,4.2,2.2,50.6,4.2,0,0,0
"2026/01/26","2026/01/28","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",250,1650,25460,0,0,1700,23760,72725,479985,7406314,0,0,494530,6911784,,,0,0,0,56406,3570,0,6.9,3.8,58.2,7.1,2.7,17.5,4.7
"2026/01/26","2026/01/28","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",22,0,396,0,0,0,396,1584660,0,28523880,0,0,0,28523880,,,0,0,0,71060,0,0,16.9,16.4,17.4,16.9,0,0,0
"2026/01/26","2026/01/28","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",26621,20,40867,0,0,0,40867,495949230,372600,761352210,0,0,0,761352210,,,0,0,0,1069950,0,0,4.7,2.7,20.1,4.8,2.2,1.7,1.9
"2026/01/26","2026/01/28","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",4429,0,27920,0,0,0,27920,24399361,0,153811280,0,0,0,153811280,,,0,0,0,2255136,0,0,17.6,10,88.3,18,69,0.2,0.5
"2026/01/26","2026/01/28","1330","上場２２５","東証およびＰＴＳ",,"確報",0,20,1648,260,2228,4895,-3247,0,1100800,90705920,14310400,122629120,269420800,-178714880,,,0,0,0,1601280,6588480,0,7.5,7.6,8.2,7.9,8.2,6.8,7.4
"2026/01/26","2026/01/28","1332","ニッスイ","東証およびＰＴＳ",,"確報",3800,0,28700,13900,0,15500,13200,4742400,0,35817600,17347200,0,19344000,16473600,,,0,0,448200,0,0,28800,4.3,12.2,7.4,9.2,1.1,2,1.4
"2026/01/26","2026/01/28","1333","マルハニチロ","東証およびＰＴＳ",,"確報",200,300,16500,300,0,300,16200,278000,417000,22935000,417000,0,417000,22518000,,,0,0,0,83000,0,0,8.5,9.9,9.2,9.6,1.1,1.2,1.2
"2026/01/26","2026/01/28","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",20,0,23329,0,0,0,23329,20860,0,24332147,0,0,0,24332147,,,0,0,0,652652,0,0,7.9,4,931.9,8,201,2,3.9
"2026/01/26","2026/01/28","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",6760,0,173570,1320,0,33580,139990,14537380,0,373262285,2838660,0,72213790,301048495,,,0,0,0,3252795,629070,0,13.2,9.4,21.6,13.1,14.5,13.3,13.9
"2026/01/26","2026/01/28","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",0,1400,4000,0,0,0,4000,0,2819600,8056000,0,0,0,8056000,,,0,0,0,83700,0,0,4.5,3.4,7,4.5,0,0,0
"2026/01/26","2026/01/28","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",50,0,1630,0,569,2685,-1055,2732500,0,89079500,0,31095850,146735250,-57655750,,,0,0,0,1516800,3123840,0,16.1,139.2,7935,273.6,11.3,9.7,10.5
"2026/01/26","2026/01/28","1348","ＭＸＳトピクス","東証およびＰＴＳ",,"確報",13,956,5685,27,3666,3081,2604,47918,3523816,20954910,99522,13512876,11356566,9598344,,,0,0,0,516984,524160,0,5.7,9.3,8.7,9,5.4,2.8,3.7
"2026/01/26","2026/01/28","1349","アジア債券","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/26","2026/01/28","1356","ＴＰダブルインバース","東証およびＰＴＳ",,"確報",0,68300,294580,25260,10,59980,234600,0,10709440,46190144,3960768,1568,9404864,36785280,,,0,0,2286144,0,0,218799,8.4,7.4,13.1,9.4,1.8,27.3,3.4
"2026/01/26","2026/01/28","1357","ＮＦ日経ダブインバ","東証およびＰＴＳ",,"確報",200,452427,903230,956,20538,312078,591152,1047000,2368455345,4728409050,5004660,107516430,1633728330,3094680720,,,0,0,249404088,0,0,61025440,8.8,7.3,9.5,8.2,8.1,18.1,11.2
"2026/01/26","2026/01/28","1358","上場日経２倍","東証およびＰＴＳ",,"確報",1008,590,1254,101,419,1741,-487,90377280,52899400,112433640,9055660,37567540,156098060,-43664420,,,0,0,0,2867480,7062370,0,4.6,1.9,3.6,2.5,12.1,6.6,8.6
"2026/01/26","2026/01/28","135A","ＶＲＡＩＮ","東証およびＰＴＳ",,"確報",14600,8900,62900,5700,0,62900,0,39858000,24297000,171717000,15561000,0,171717000,0,,,0,0,1716000,0,0,1716000,9.3,4.9,5.2,5,48.1,104.9,66
"2026/01/26","2026/01/28","1360","ダブルインバース日経","東証およびＰＴＳ",,"確報",184750,1052510,8947010,230,48410,230,8946780,23758850,135352786,1150585486,29578,6225526,29578,1150555908,,,0,0,43184988,0,0,213004,12.1,8.3,24.3,12.4,2.2,1.4,1.7
