"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/02/09","2026/02/12","1301","極洋","東証およびＰＴＳ",,"確報",0,100,3200,0,200,400,2800,0,520000,16640000,0,1040000,2080000,14560000,,,0,0,66000,0,0,12000,8.5,7.1,10.9,8.6,58,4.5,8.3
"2026/02/09","2026/02/12","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",80,710,11930,2920,150,11160,770,320880,2847810,47851230,11712120,601650,44762760,3088470,,,0,0,1117840,0,0,746710,14.3,21.4,20.5,21,8.1,14.6,10.4
"2026/02/09","2026/02/12","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",35410,10500,80860,12940,5350,28680,52180,140683930,41716500,321256780,51410620,21255550,113945640,207311140,,,0,0,4923600,0,0,1855920,4.9,3.5,7.3,4.7,4.4,7.1,5.4
"2026/02/09","2026/02/12","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",80,4004,7955,459,291,6651,1304,314400,15735720,31263150,1803870,1143630,26138430,5124720,,,0,0,1069110,0,0,583470,3,3.7,1.6,2.2,3.7,4,3.8
"2026/02/09","2026/02/12","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",1,0,45,0,0,0,45,56060,0,2522700,0,0,0,2522700,,,0,0,27720,0,0,0,20.5,78.7,11.8,20.5,0,0,0
"2026/02/09","2026/02/12","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",100,600,18600,0,0,0,18600,48900,293400,9095400,0,0,0,9095400,,,0,0,19100,0,0,0,43.2,88.3,28.6,43.2,0,0,0
"2026/02/09","2026/02/12","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",420,6130,4355,500,0,1325,3030,826980,12069970,8574995,984500,0,2608925,5966070,,,0,0,422730,0,0,34650,5.1,5.5,5.1,5.3,2.6,8.7,4
"2026/02/09","2026/02/12","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/02/09","2026/02/12","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",7,865,1565,2112,74,10996,-9431,408870,50524650,91411650,123361920,4322340,642276360,-550864710,,,0,0,5475980,0,0,20245080,10.8,10.3,10.4,10.4,13.7,9.1,10.9
"2026/02/09","2026/02/12","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",15,16677,9747,10561,2744,47301,-37554,878100,976271580,570589380,618240940,160633760,2769000540,-2198411160,,,0,0,56779350,0,0,84890600,6,4,4.1,4,6.1,7.9,6.9
"2026/02/09","2026/02/12","1322","上場パンタ","東証およびＰＴＳ",,"確報",2,0,619,0,0,0,619,23050,0,7133975,0,0,0,7133975,,,0,0,138825,0,0,0,16,13.4,19.8,16,0,0,0
"2026/02/09","2026/02/12","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",350,350,11870,0,0,0,11870,105770,105770,3587114,0,0,0,3587114,,,0,0,28488,0,0,0,16.5,20.6,19.5,20,0,3,6
"2026/02/09","2026/02/12","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",180,0,664,0,0,0,664,13005000,0,47974000,0,0,0,47974000,,,0,0,1103520,0,0,0,6.4,3.9,19,6.4,0,0,0
"2026/02/09","2026/02/12","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",1399,1159,17843,0,0,0,17843,26091350,21615350,332771950,0,0,0,332771950,,,0,0,10297755,0,0,0,18.1,14.7,23.8,18.1,0,0,0
"2026/02/09","2026/02/12","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",14946,8772,28722,796,0,1360,27362,87120234,51131988,167420538,4639884,0,7927440,159493098,,,0,0,4983108,0,0,124644,3,4,3.9,3.9,1.6,1.2,1.4
"2026/02/09","2026/02/12","1330","上場２２５","東証およびＰＴＳ",,"確報",3,2294,2009,2389,247,7115,-5106,176070,134634860,117908210,140210410,14496430,417579350,-299671140,,,0,0,9589000,0,0,11089790,3.2,3.1,3,3,3,3.4,3.2
"2026/02/09","2026/02/12","1332","ニッスイ","東証およびＰＴＳ",,"確報",0,13600,26100,1000,10500,25700,400,0,20508800,39358800,1508000,15834000,38755600,603200,,,0,0,3295100,0,0,2921600,6,5,5.6,5.3,6.6,7.5,7
"2026/02/09","2026/02/12","1333","マルハニチロ","東証およびＰＴＳ",,"確報",4000,300,17900,0,900,0,17900,5854000,439050,26196650,0,1317150,0,26196650,,,0,0,0,42600,2700,0,2.1,3.2,3.5,3.3,1,1,1
"2026/02/09","2026/02/12","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",0,0,28,0,0,28,0,0,0,29568,0,0,29568,0,,,0,0,0,112,112,0,2,433.9,1,2,3.2,12.2,5.1
"2026/02/09","2026/02/12","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",76940,0,187860,0,310270,33790,154070,165305590,0,403617210,0,666615095,72597815,331019395,,,0,0,0,2883920,8945560,0,3.4,9.3,11.1,10.1,1.6,1.5,1.6
"2026/02/09","2026/02/12","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",1600,0,15700,0,0,0,15700,3253600,0,31925950,0,0,0,31925950,,,0,0,49350,0,0,0,23.1,16.9,53.4,25.7,0,0,0
"2026/02/09","2026/02/12","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",24,380,1583,640,209,2895,-1312,1398960,22150200,92273070,37305600,12182610,168749550,-76476480,,,0,0,4401530,0,0,5593280,10.6,21.5,20.4,20.9,7,9.9,8.2
"2026/02/09","2026/02/12","1348","ＭＸＳトピクス","東証およびＰＴＳ",,"確報",0,16,4830,170,407,3349,1481,0,62704,18928770,666230,1595033,13124731,5804039,,,0,0,421602,0,0,311982,35.9,1729.3,672.5,968.4,24.2,11.9,16
"2026/02/09","2026/02/12","1349","アジア債券","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/02/09","2026/02/12","1356","ＴＰダブルインバース","東証およびＰＴＳ",,"確報",145990,20990,395840,10300,3650,10300,385540,20044427,2881927,54348832,1414190,501145,1414190,52934642,,,0,0,0,1733376,23360,0,6.9,5.1,19.3,8,7.6,1.7,2.8
"2026/02/09","2026/02/12","1357","ＮＦ日経ダブインバ","東証およびＰＴＳ",,"確報",315082,6700,951562,5934,38814,437690,513872,1434568346,30505100,4332461786,27017502,176720142,1992802570,2339659216,,,0,0,0,251483380,183992870,0,8.6,5.3,8,6.4,29.5,24.2,26.6
"2026/02/09","2026/02/12","1358","上場日経２倍","東証およびＰＴＳ",,"確報",442,1512,891,1115,0,3376,-2485,44973500,153846000,90659250,113451250,0,343508000,-252848750,,,0,0,14609450,0,0,16844450,4.1,1.8,1.7,1.8,5.4,9.3,6.8
"2026/02/09","2026/02/12","135A","ＶＲＡＩＮ","東証およびＰＴＳ",,"確報",700,800,76500,0,100,76500,0,1696800,1939200,185436000,0,242400,185436000,0,,,0,0,2834200,0,0,2834200,19.6,10.1,12.3,11.1,48.7,284.9,83.2
"2026/02/09","2026/02/12","1360","ダブルインバース日経","東証およびＰＴＳ",,"確報",2819730,549060,9699430,0,14900,5030,9694400,315527787,61439814,1085366217,0,1667310,562857,1084803360,,,0,0,0,71316096,191328,0,7.2,6.4,8.2,7.2,4.9,4.3,4.6
"2026/02/09","2026/02/12","1364","ｉＳＪＰＸ日経４００","東証およびＰＴＳ",,"確報",0,53,1030,2,0,12,1018,0,183963,3575130,6942,0,41652,3533478,,,0,0,86640,0,0,800,2.2,3.9,79.4,7.5,1,1,1
"2026/02/09","2026/02/12","1365","ｉＦ２２５ダブル","東証およびＰＴＳ",,"確報",235,1333,450,324,72,961,-511,19309950,109532610,36976500,26623080,5916240,78965370,-41988870,,,0,0,9179640,0,0,4204370,2.4,3.1,1.1,1.6,3.2,3.4,3.3
