"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/07","2026/01/09","1301","極洋","東証およびＰＴＳ",,"確報",200,0,2600,0,200,400,2200,988000,0,12844000,0,988000,1976000,10868000,,,0,0,0,12000,3000,0,14.3,17.1,20,18.5,4,8,5.3
"2026/01/07","2026/01/09","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",120,0,11180,70,10,9320,1860,446520,0,41600780,260470,37210,34679720,6921060,,,0,0,0,353920,296320,0,46.4,35.8,37.4,36.6,143.5,45.1,68.6
"2026/01/07","2026/01/09","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",360,440,13410,17380,9490,100140,-86730,1326240,1620960,49402440,64027920,34961160,368915760,-319513320,,,0,0,0,404700,2767500,0,6.9,149.2,4.1,8,4.7,11.8,6.7
"2026/01/07","2026/01/09","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",0,1745,6613,1153,1434,20377,-13764,0,6351800,24071320,4196920,5219760,74172280,-50100960,,,0,0,0,250740,619740,0,5.3,6.5,3.2,4.3,3.6,15.6,5.8
"2026/01/07","2026/01/09","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,1,0,0,0,1,0,0,55700,0,0,0,55700,,,0,0,0,720,0,0,0,0,0,0,0,0,0
"2026/01/07","2026/01/09","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",0,2900,14500,0,0,0,14500,0,1354300,6771500,0,0,0,6771500,,,0,0,0,208800,0,0,10.9,9.2,13.4,10.9,0,0,0
"2026/01/07","2026/01/09","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",10,0,2330,0,0,108,2222,18520,0,4315160,0,0,200016,4115144,,,0,0,0,53360,2484,0,114.8,1161,0,2322,4.4,4.4,4.4
"2026/01/07","2026/01/09","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,1000,0,0,0,1000,0,0,655000,0,0,0,655000,,,0,0,0,0,0,0,4,2,0,4,0,0,0
"2026/01/07","2026/01/09","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",770,0,2326,476,1690,15563,-13237,41433700,0,125162060,25613560,90938900,837445030,-712282970,,,0,0,0,762440,8220730,0,14.4,11.1,712.5,21.9,12.8,15.2,13.9
"2026/01/07","2026/01/09","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",14503,333,20908,50,20137,97189,-76281,782436850,17965350,1127986600,2697500,1086391150,5243346550,-4115359950,,,0,0,0,3840660,66847320,0,10.8,2.5,6.3,3.6,11.1,17.1,13.5
