品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260122,20260126,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3801.00,52870,9.00,0.50,1,0.50,,,F
20260122,20260126,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3751.00,8717,60.00,0.00,1,0.00,,,F
20260122,20260126,1320,ｉＦ２２５年１,東証,決算,20260710,55580.00,10083,120.00,5.00,1,5.00,,,F
20260122,20260126,1321,ＮＦ日経２２５,東証,決算,20260708,55770.00,58492,120.00,5.00,1,0.00,,,F
20260122,20260126,1330,上場２２５,東証,決算,20260708,55860.00,4860,120.00,5.00,1,5.00,,,F
20260122,20260126,1346,ＭＸＳ２２５,東証,決算,20260716,55490.00,1609,120.00,5.00,1,5.00,,,F
20260122,20260126,1358,上場日経２倍,東証,決算,20260710,92450.00,1017,400.00,5.00,1,5.00,,注意,D
20260122,20260126,1365,ｉＦ２２５ダブル,東証,決算,20270110,74830.00,999,320.00,5.00,1,5.00,,注意,E
20260122,20260126,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,53810.00,102,120.00,5.00,1,5.00,,,F
20260122,20260126,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54460.00,0,120.00,*****,*****,*****,満額,,
20260122,20260126,1414,ショーボンドＨＤ,東証,決算,20260630,1420.00,0,3.00,*****,*****,*****,満額,,
20260122,20260126,1418,インターライフＨＤ,東証,決算,20260228,619.00,21000,1.40,0.00,1,0.00,,,F
20260122,20260126,1419,タマホーム,東証,決算,20260228,3730.00,376200,15.20,0.20,1,0.20,,停止,C
20260122,20260126,141A,トライアル,東証,決算,20260630,3015.00,176500,6.20,0.05,1,0.15,,,F
20260122,20260126,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,645.00,4700,1.40,0.00,1,0.00,,,F
20260122,20260126,1433,ベステラ,東証,決算,20260131,1319.00,1300,11.20,0.05,1,0.05,,停止,F
20260122,20260126,1457,ｉＦＴＰＸベア,東証,決算,20270110,2071.00,0,60.00,*****,*****,*****,満額,,
20260122,20260126,1473,Ｏｎｅ・トピックス,東証,決算,20260708,3679.00,250,9.00,0.50,1,0.50,,,F
20260122,20260126,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,32940.00,45,90.00,0.00,1,0.00,,,E
20260122,20260126,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,53,100.00,5.00,1,5.00,,,C
20260122,20260126,147A,ソラコム,東証,決算,20260430,1147.00,45500,2.40,0.05,1,0.05,,,E
20260122,20260126,1486,上場米債ヘッジなし,東証,決算,20260710,24465.00,0,80.00,*****,*****,*****,満額,,
20260122,20260126,1493,Ｏｎｅ・中小型,東証,決算,20260708,23400.00,12,80.00,0.00,1,0.00,,,E
20260122,20260126,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260410,9184.00,18,60.00,5.00,1,*****,,,F
20260122,20260126,1514,住石ホールディングス,東証,決算,20260331,626.00,118700,2.80,0.05,1,0.05,,注意,F
20260122,20260126,153A,カウリス,東証,決算,20260630,1184.00,36900,2.40,0.05,1,0.05,,,E
20260122,20260126,1545,ナスダックヘッジ無,東証,決算,20260810,40670.00,6587,100.00,0.00,1,0.00,,,F
20260122,20260126,1546,ダウヘッジ無,東証,決算,20260810,76060.00,0,160.00,*****,*****,0.00,満額,,
20260122,20260126,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7379.00,0,60.00,*****,*****,*****,満額,,
20260122,20260126,1554,上場インデＭＳ世界,東証,決算,20270120,6127.00,0,60.00,*****,*****,*****,満額,,
20260122,20260126,155A,情報戦略テクノロジー,東証,決算,20260630,1308.00,0,2.80,*****,*****,*****,満額,,
20260122,20260126,1566,上場ＥＭ債,東証,決算,20260310,54710.00,0,240.00,*****,*****,*****,満額,注意,
20260122,20260126,1570,ＮＦ日経レバ,東証,決算,20260520,48740.00,103829,100.00,5.00,1,*****,,,F
20260122,20260126,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2423.50,10,8.00,0.00,1,0.50,,,F
