"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/02/03","2026/02/05","1301","極洋","東証およびＰＴＳ",,"確報",100,300,2300,100,0,1700,600,505000,1515000,11615000,505000,0,8585000,3030000,,,0,0,0,100000,64000,0,4.5,5.6,3.4,4.2,5,12,7.1
"2026/02/03","2026/02/05","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",10,2030,10030,1390,830,9010,1020,38670,7850010,38786010,5375130,3209610,34841670,3944340,,,0,0,1397800,0,0,980200,26.4,97.2,13.9,24.3,29.6,30.9,30.2
"2026/02/03","2026/02/05","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",890,19400,27630,3540,1150,20480,7150,3409590,74321400,105850530,13561740,4405650,78458880,27391650,,,0,0,5444520,0,0,2134620,4,3.9,3.3,3.6,7.5,5.8,6.5
"2026/02/03","2026/02/05","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",500,17940,5378,15239,139,20541,-15163,1889500,67795260,20323462,57588181,525281,77624439,-57300977,,,0,0,2418708,0,0,576746,5.1,11.1,5,6.9,3,4.2,3.5
"2026/02/03","2026/02/05","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,62,0,0,0,62,0,0,3352960,0,0,0,3352960,,,0,0,4960,0,0,0,16.6,8.8,141,16.6,0,0,0
"2026/02/03","2026/02/05","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",400,500,20800,0,0,0,20800,192800,241000,10025600,0,0,0,10025600,,,0,0,0,62700,0,0,28.3,51.3,19.6,28.3,0,0,0
"2026/02/03","2026/02/05","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,399,4485,1000,0,1050,3435,0,762489,8570835,1911000,0,2006550,6564285,,,0,0,263736,0,0,2700,12.7,14,19.3,16.3,1.3,0,2.5
"2026/02/03","2026/02/05","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/02/03","2026/02/05","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,1556,2150,6,15371,-13815,0,0,88162960,121819000,339960,870920860,-782757900,,,0,0,3236480,0,0,27512160,20.1,0,0,0,11.2,45.4,18
"2026/02/03","2026/02/05","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",57,707,8852,27300,400,65438,-56586,3240450,40192950,503236200,1552005000,22740000,3720150300,-3216914100,,,0,0,19954200,0,0,80929800,8.6,7.9,8.2,8.1,7.7,10,8.7
"2026/02/03","2026/02/05","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,552,0,0,0,552,0,0,6127200,0,0,0,6127200,,,0,0,110400,0,0,0,276,138,0,276,0,0,0
