品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260203,20260205,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3779.00,15163,60.00,5.00,1,*****,,,F
20260203,20260205,1320,ｉＦ２２５年１,東証,決算,20260710,56660.00,13815,120.00,5.00,1,5.00,,,F
20260203,20260205,1321,ＮＦ日経２２５,東証,決算,20260708,56850.00,56586,120.00,5.00,1,0.00,,,F
20260203,20260205,1330,上場２２５,東証,決算,20260708,56930.00,13226,120.00,5.00,1,5.00,,,F
20260203,20260205,1332,ニッスイ,東証,決算,20260331,1325.50,0,2.80,*****,*****,*****,満額,,
20260203,20260205,1333,マルハニチロ,東証,決算,20260331,1410.00,0,3.00,*****,*****,*****,満額,,
20260203,20260205,1346,ＭＸＳ２２５,東証,決算,20260716,56540.00,2049,120.00,5.00,1,5.00,,,F
20260203,20260205,1358,上場日経２倍,東証,決算,20260710,96010.00,3323,400.00,5.00,1,5.00,,注意,C
20260203,20260205,135A,ＶＲＡＩＮ,東証,決算,20260228,2590.00,0,5.20,*****,*****,*****,満額,,
20260203,20260205,1365,ｉＦ２２５ダブル,東証,決算,20270110,77560.00,1603,320.00,5.00,1,*****,,注意,D
20260203,20260205,1367,ｉＦＴＰＸダブル,東証,決算,20270110,62730.00,94,140.00,0.00,1,*****,,,F
20260203,20260205,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,54900.00,467,120.00,5.00,1,5.00,,,F
20260203,20260205,1377,サカタのタネ,東証,決算,20260531,4105.00,0,8.40,*****,*****,*****,満額,,
20260203,20260205,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,55350.00,36,120.00,5.00,1,5.00,,,F
20260203,20260205,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2061.50,2140,8.00,0.50,1,0.50,,,F
20260203,20260205,1414,ショーボンドＨＤ,東証,決算,20260630,1435.00,0,3.00,*****,*****,*****,満額,,
20260203,20260205,1418,インターライフＨＤ,東証,決算,20260228,596.00,31100,2.40,0.05,1,0.05,,停止,F
20260203,20260205,1419,タマホーム,東証,決算,20260228,3770.00,333600,15.20,0.20,1,0.20,,停止,C
20260203,20260205,141A,トライアル,東証,決算,20260630,2860.00,31900,5.80,0.00,1,0.00,,,F
20260203,20260205,1429,日本アクア,東証,決算,20260630,876.00,0,1.80,*****,*****,*****,満額,,
20260203,20260205,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,643.00,16200,1.40,0.05,1,0.05,,,F
20260203,20260205,1433,ベステラ,東証,決算,20260731,1177.00,0,2.40,*****,*****,*****,満額,,
20260203,20260205,1457,ｉＦＴＰＸベア,東証,決算,20270110,2056.00,0,60.00,*****,*****,*****,満額,,
20260203,20260205,1458,楽天２２５ダブルブル,東証,決算,20260315,60100.00,1156,140.00,5.00,1,*****,,,F
20260203,20260205,1473,Ｏｎｅ・トピックス,東証,決算,20260708,3708.00,180,9.00,0.50,1,0.50,,,F
20260203,20260205,1477,ｉＳＭＳＣＩ最小分散,東証,決算,20260209,3152.00,5,120.00,5.00,1,*****,,,F
20260203,20260205,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,53,100.00,5.00,1,5.00,,,E
20260203,20260205,147A,ソラコム,東証,決算,20260430,1145.00,51000,2.40,0.05,1,0.05,,,E
20260203,20260205,1499,ＭＸＳ高配当７０ＭＮ,東証,決算,20260410,9180.00,0,60.00,*****,*****,5.00,満額,,
20260203,20260205,1514,住石ホールディングス,東証,決算,20260331,693.00,0,2.80,*****,*****,*****,満額,停止,
20260203,20260205,153A,カウリス,東証,決算,20260630,1153.00,57500,2.40,0.05,1,0.05,,,D
20260203,20260205,1545,ナスダックヘッジ無,東証,決算,20260810,40650.00,320,100.00,0.00,1,0.00,,,F
20260203,20260205,1546,ダウヘッジ無,東証,決算,20260810,74770.00,0,160.00,*****,*****,*****,満額,,
20260203,20260205,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7335.00,0,60.00,*****,*****,*****,満額,,
20260203,20260205,1554,上場インデＭＳ世界,東証,決算,20270120,6110.00,0,60.00,*****,*****,*****,満額,,
20260203,20260205,1555,上場インデＡリート,東証,決算,20260310,2559.00,92,60.00,5.00,1,5.00,,,F
20260203,20260205,155A,情報戦略テクノロジー,東証,決算,20260630,1385.00,0,2.80,*****,*****,*****,満額,,
20260203,20260205,1566,上場ＥＭ債,東証,決算,20260310,54310.00,0,240.00,*****,*****,*****,満額,注意,
20260203,20260205,1568,ＴＰレバレッジダブル,東証,決算,20260220,811.00,159590,6.00,0.00,1,*****,,,F
20260203,20260205,1570,ＮＦ日経レバ,東証,決算,20260520,50650.00,304239,120.00,5.00,1,*****,,,D
20260203,20260205,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2434.50,170,8.00,0.50,1,0.50,,,F
20260203,20260205,1591,ＮＦＪＰＸ４００,東証,決算,20260407,32990.00,100,90.00,5.00,1,5.00,,,F
20260203,20260205,1592,上場ＪＰＸ日経４００,東証,決算,20260708,3018.00,0,60.00,*****,*****,*****,満額,,
20260203,20260205,1593,ＭＸＳＪＰＸ４００,東証,決算,20260716,33750.00,0,90.00,*****,*****,*****,満額,,
20260203,20260205,1620,ＮＦ素材化学Ｔ１７,東証,決算,20260715,33110.00,28,90.00,5.00,1,5.00,,,F
20260203,20260205,1622,ＮＦ自動車Ｔ１７,東証,決算,20260715,37930.00,34,90.00,5.00,1,0.00,,,F
20260203,20260205,1626,ＮＦ情通・他Ｔ１７,東証,決算,20260715,40880.00,0,100.00,*****,*****,*****,満額,,
20260203,20260205,1627,ＮＦ電力ガスＴ１７,東証,決算,20260715,11680.00,0,70.00,*****,*****,*****,満額,,
20260203,20260205,1632,ＮＦ金融Ｔ１７,東証,決算,20260715,35460.00,0,90.00,*****,*****,*****,満額,,
20260203,20260205,1633,ＮＦ不動産Ｔ１７,東証,決算,20260715,55060.00,0,120.00,*****,*****,*****,満額,,
20260203,20260205,1653,ｉＦＥＳＧセレクト,東証,決算,20260710,4712.00,400,10.00,0.50,1,*****,,,D
20260203,20260205,1671,ＷＴＩ原油ＥＴＦ,東証,決算,20260715,3181.00,8112,60.00,0.00,1,*****,,,F
20260203,20260205,167A,リョーサン菱洋,東証,決算,20260331,3115.00,0,6.40,*****,*****,*****,満額,,
20260203,20260205,1681,上場ＭＳエマ,東証,決算,20270120,2941.00,0,60.00,*****,*****,*****,満額,,
20260203,20260205,1699,ＮＦ原油先物,東証,決算,20260210,406.60,63530,12.00,0.50,1,0.50,,,F
