品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260119,20260121,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3840.00,67220,9.00,0.00,1,0.00,,,F
20260119,20260121,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3789.00,16869,60.00,5.00,1,0.00,,,F
20260119,20260121,1320,ｉＦ２２５年１,東証,決算,20260710,55480.00,11666,120.00,5.00,1,5.00,,,F
20260119,20260121,1321,ＮＦ日経２２５,東証,決算,20260708,55690.00,86522,120.00,5.00,1,5.00,,,E
20260119,20260121,1330,上場２２５,東証,決算,20260708,55760.00,4081,120.00,5.00,1,5.00,,,F
20260119,20260121,133A,ＧＸ超短期米国債,東証,決算,20260124,1070.00,0,120.00,*****,*****,*****,満額,,
20260119,20260121,1346,ＭＸＳ２２５,東証,決算,20260716,55320.00,1317,120.00,5.00,1,5.00,,,F
20260119,20260121,1348,ＭＸＳトピクス,東証,決算,20260716,3789.00,890,60.00,5.00,1,*****,,,F
20260119,20260121,1358,上場日経２倍,東証,決算,20260710,92140.00,2365,400.00,5.00,1,5.00,,注意,B
20260119,20260121,135A,ＶＲＡＩＮ,東証,決算,20260228,2995.00,0,6.00,*****,*****,*****,満額,,
20260119,20260121,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3393.00,0,60.00,*****,*****,*****,満額,,
20260119,20260121,1365,ｉＦ２２５ダブル,東証,決算,20270110,74600.00,2572,320.00,5.00,1,5.00,,注意,D
20260119,20260121,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,53740.00,326,120.00,5.00,1,5.00,,,F
20260119,20260121,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54060.00,0,120.00,*****,*****,*****,満額,,
20260119,20260121,1399,上場高配当低ボラ,東証,決算,20260408,2855.00,79,60.00,0.00,1,0.00,,,F
20260119,20260121,1418,インターライフＨＤ,東証,決算,20260228,622.00,23000,1.40,0.00,1,0.00,,,F
20260119,20260121,1419,タマホーム,東証,決算,20260228,3685.00,376300,14.80,0.15,1,0.20,,停止,C
20260119,20260121,141A,トライアル,東証,決算,20260630,3180.00,289000,6.40,0.10,1,0.05,,,F
20260119,20260121,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,652.00,0,1.40,*****,*****,*****,満額,,
20260119,20260121,1433,ベステラ,東証,決算,20260131,1315.00,0,5.60,*****,*****,0.05,満額,停止,
20260119,20260121,1457,ｉＦＴＰＸベア,東証,決算,20270110,2052.00,0,60.00,*****,*****,*****,満額,,
20260119,20260121,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,33250.00,72,90.00,5.00,1,5.00,,,E
20260119,20260121,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,46660.00,54,100.00,5.00,1,5.00,,,C
20260119,20260121,147A,ソラコム,東証,決算,20260430,1172.00,37000,2.40,0.05,1,0.05,,,F
20260119,20260121,1486,上場米債ヘッジなし,東証,決算,20260710,24330.00,0,80.00,*****,*****,*****,満額,,
20260119,20260121,1493,Ｏｎｅ・中小型,東証,決算,20260708,23290.00,74,80.00,5.00,1,*****,,,E
20260119,20260121,1494,Ｏｎｅ・高配当日本株,東証,決算,20260408,41960.00,10,100.00,0.00,1,*****,,,F
20260119,20260121,1514,住石ホールディングス,東証,決算,20260331,628.00,71800,2.80,0.05,1,0.05,,注意,F
20260119,20260121,153A,カウリス,東証,決算,20260630,1254.00,41200,2.60,0.05,1,0.05,,,E
20260119,20260121,1545,ナスダックヘッジ無,東証,決算,20260810,40200.00,17142,100.00,5.00,1,0.00,,,F
20260119,20260121,1546,ダウヘッジ無,東証,決算,20260810,75360.00,105,160.00,0.00,1,*****,,,F
20260119,20260121,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7317.00,0,60.00,*****,*****,*****,満額,,
20260119,20260121,1555,上場インデＡリート,東証,決算,20260310,2531.00,57,60.00,5.00,1,*****,,,F
20260119,20260121,155A,情報戦略テクノロジー,東証,決算,20260630,1315.00,0,2.80,*****,*****,*****,満額,,
20260119,20260121,1568,ＴＰレバレッジダブル,東証,決算,20260220,819.40,0,6.00,*****,*****,0.50,満額,,
20260119,20260121,1570,ＮＦ日経レバ,東証,決算,20260520,48670.00,44517,100.00,5.00,1,5.00,,,F
20260119,20260121,1573,Ｈ株インバース,東証,決算,20261204,7850.00,470,32.00,0.50,1,0.50,,注意,D
20260119,20260121,1578,上場インデ２２５ミニ,東証,決算,20260708,4279.00,208,60.00,0.00,1,0.00,,,F
20260119,20260121,1585,ｉＦＥＸ－Ｆ,東証,決算,20260710,2447.50,10,8.00,0.00,1,0.00,,,F
20260119,20260121,1591,ＮＦＪＰＸ４００,東証,決算,20260407,33000.00,258,90.00,5.00,1,5.00,,,F
20260119,20260121,1592,上場ＪＰＸ日経４００,東証,決算,20260708,3030.00,0,60.00,*****,*****,*****,満額,,
20260119,20260121,1593,ＭＸＳＪＰＸ４００,東証,決算,20260716,33830.00,4,90.00,0.00,1,5.00,,,F
20260119,20260121,1599,ｉＦＪＰＸ日経４００,東証,決算,20260710,33390.00,0,90.00,*****,*****,*****,満額,,
20260119,20260121,1619,ＮＦ建設資材Ｔ１７,東証,決算,20260715,47230.00,0,100.00,*****,*****,*****,満額,,
20260119,20260121,1622,ＮＦ自動車Ｔ１７,東証,決算,20260715,38640.00,0,90.00,*****,*****,*****,満額,,
20260119,20260121,1624,ＮＦ機械Ｔ１７,東証,決算,20260715,85540.00,0,180.00,*****,*****,*****,満額,,
20260119,20260121,1625,ＮＦ電機精密Ｔ１７,東証,決算,20260715,52370.00,32,120.00,0.00,1,0.00,,,F
20260119,20260121,1628,ＮＦ運輸物流Ｔ１７,東証,決算,20260715,21110.00,60,80.00,5.00,1,5.00,,,F
20260119,20260121,1630,ＮＦ小売Ｔ１７,東証,決算,20260715,37630.00,0,90.00,*****,*****,5.00,満額,,
20260119,20260121,1633,ＮＦ不動産Ｔ１７,東証,決算,20260715,55110.00,0,120.00,*****,*****,*****,満額,,
20260119,20260121,1653,ｉＦＥＳＧセレクト,東証,決算,20260710,4738.00,1400,10.00,0.50,1,0.50,,,D
20260119,20260121,1656,ｉＳ米国債七十,東証,決算,20260411,315.90,0,6.00,*****,*****,*****,満額,,
20260119,20260121,1660,ＭＸＳ高利Ｊリート,東証,決算,20260410,11975.00,0,70.00,*****,*****,*****,満額,,
