品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260114,20260116,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3824.00,64060,9.00,0.00,3,*****,,,F
20260114,20260116,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3777.00,13011,60.00,0.00,3,0.00,,,F
20260114,20260116,1320,ｉＦ２２５年１,東証,決算,20260710,56240.00,14031,120.00,15.00,3,5.00,,,F
20260114,20260116,1321,ＮＦ日経２２５,東証,決算,20260708,56490.00,93632,120.00,15.00,3,5.00,,,E
20260114,20260116,1330,上場２２５,東証,決算,20260708,56480.00,13305,120.00,15.00,3,5.00,,,F
20260114,20260116,1333,マルハニチロ,東証,決算,20260331,1340.00,0,2.80,*****,*****,*****,満額,,
20260114,20260116,1346,ＭＸＳ２２５,東証,決算,20260116,56550.00,14354,480.00,15.00,3,5.00,,,D
20260114,20260116,1348,ＭＸＳトピクス,東証,決算,20260116,3809.00,22179,240.00,15.00,3,5.00,,,F
20260114,20260116,1358,上場日経２倍,東証,決算,20260710,94860.00,4145,400.00,900.00,3,5.00,,注意,A
20260114,20260116,135A,ＶＲＡＩＮ,東証,決算,20260228,3350.00,0,6.80,*****,*****,*****,満額,,
20260114,20260116,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3398.00,0,60.00,*****,*****,*****,満額,,
20260114,20260116,1365,ｉＦ２２５ダブル,東証,決算,20270110,76930.00,5037,320.00,90.00,3,5.00,,注意,C
20260114,20260116,1367,ｉＦＴＰＸダブル,東証,決算,20270110,62810.00,41,140.00,0.00,3,*****,,,F
20260114,20260116,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,54570.00,369,120.00,15.00,3,5.00,,,F
20260114,20260116,1377,サカタのタネ,東証,決算,20260531,3985.00,0,8.00,*****,*****,*****,満額,,
20260114,20260116,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54960.00,13,120.00,15.00,3,5.00,,,F
20260114,20260116,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2100.50,40,8.00,1.50,3,*****,,,F
20260114,20260116,1418,インターライフＨＤ,東証,決算,20260228,697.00,42800,1.40,0.00,3,0.00,,,F
20260114,20260116,1419,タマホーム,東証,決算,20260228,3610.00,355000,7.40,0.45,3,0.15,,,B
20260114,20260116,141A,トライアル,東証,決算,20260630,2825.00,429100,5.80,0.15,3,0.10,,,E
20260114,20260116,1429,日本アクア,東証,決算,20260630,887.00,0,1.80,*****,*****,*****,満額,,
20260114,20260116,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,641.00,0,1.40,*****,*****,*****,満額,,
20260114,20260116,1433,ベステラ,東証,決算,20260131,1289.00,0,5.20,*****,*****,0.05,満額,停止,
20260114,20260116,1457,ｉＦＴＰＸベア,東証,決算,20270110,2061.00,0,60.00,*****,*****,*****,満額,,
20260114,20260116,1458,楽天２２５ダブルブル,東証,決算,20260315,59490.00,11697,120.00,30.00,3,*****,,,B
20260114,20260116,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,33210.00,79,90.00,15.00,3,5.00,,,E
20260114,20260116,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,43160.00,54,100.00,15.00,3,5.00,,,C
20260114,20260116,147A,ソラコム,東証,決算,20260430,1206.00,22600,2.60,0.00,3,0.00,,,F
20260114,20260116,1482,ｉＳ米国債七十円へジ,東証,決算,20260411,1620.00,210,60.00,15.00,3,*****,,,E
20260114,20260116,1486,上場米債ヘッジなし,東証,決算,20260710,24690.00,0,80.00,*****,*****,*****,満額,,
20260114,20260116,1487,上場米債ヘッジあり,東証,決算,20260710,12415.00,0,70.00,*****,*****,*****,満額,,
20260114,20260116,1493,Ｏｎｅ・中小型,東証,決算,20260708,22915.00,0,80.00,*****,*****,5.00,満額,,
20260114,20260116,1494,Ｏｎｅ・高配当日本株,東証,決算,20260408,41650.00,0,100.00,*****,*****,*****,満額,,
20260114,20260116,1514,住石ホールディングス,東証,決算,20260331,614.00,130500,2.80,0.15,3,0.05,,注意,E
