品貸料率一覧,,,,,,,,,,,,,,,
（注）取引所区分「東証」の貸株超過株数は東証およびPTSの貸借残高を合算した貸株超過株数です。最高料率および前日品貸料率は１日１株・口当り、また当日品貸料率は１日１株・口当りの品貸料率に当日品貸日数を乗じて表示してあります。,,,,,,,,,,,,,,,
抽出条件,全体,,,,,,,,,,,,,,
貸借申込日,決済日,コード,銘柄名,取引所区分,決算事由,決算等,貸借値段（円）,貸株超過株数,最高料率（円）,当日品貸料率（円）,当日品貸日数,前日品貸料率（円）,備考,制限,応札倍率ランク
20260116,20260120,1305,ｉＦＴＰＸ年１,東証,決算,20260710,3887.00,2170,9.00,0.50,1,*****,,,F
20260116,20260120,1306,ＮＦＴＯＰＩＸ,東証,決算,20260710,3848.00,69350,9.00,0.00,1,0.00,,,F
20260116,20260120,1308,上場ＴＯＰＩＸ,東証,決算,20260708,3796.00,12931,60.00,0.00,1,0.00,,,F
20260116,20260120,1320,ｉＦ２２５年１,東証,決算,20260710,55850.00,12871,120.00,5.00,1,5.00,,,F
20260116,20260120,1321,ＮＦ日経２２５,東証,決算,20260708,56060.00,75444,120.00,5.00,1,5.00,,,F
20260116,20260120,1330,上場２２５,東証,決算,20260708,56120.00,4914,120.00,5.00,1,5.00,,,F
20260116,20260120,1346,ＭＸＳ２２５,東証,決算,20260716,55700.00,1504,120.00,5.00,1,5.00,,,F
20260116,20260120,1358,上場日経２倍,東証,決算,20260710,93700.00,2709,400.00,5.00,1,10.00,,注意,C
20260116,20260120,135A,ＶＲＡＩＮ,東証,決算,20260228,3015.00,0,6.20,*****,*****,*****,満額,,
20260116,20260120,1364,ｉＳＪＰＸ日経４００,東証,決算,20260209,3391.00,0,60.00,*****,*****,*****,満額,,
20260116,20260120,1365,ｉＦ２２５ダブル,東証,決算,20270110,75690.00,2781,320.00,5.00,1,5.00,,注意,D
20260116,20260120,1367,ｉＦＴＰＸダブル,東証,決算,20270110,63360.00,93,140.00,0.00,1,*****,,,F
20260116,20260120,1369,Ｏｎｅ・日経２２５,東証,決算,20260708,54210.00,328,120.00,5.00,1,5.00,,,F
20260116,20260120,1397,ＳＭＤＡＭ　２２５,東証,決算,20260408,54690.00,0,120.00,*****,*****,*****,満額,,
20260116,20260120,1398,ＳＭＤＡＭ　Ｊリート,東証,決算,20260308,2123.00,1320,8.00,0.50,1,*****,,,F
20260116,20260120,1399,上場高配当低ボラ,東証,決算,20260408,2854.00,29,60.00,0.00,1,0.00,,,F
20260116,20260120,1418,インターライフＨＤ,東証,決算,20260228,630.00,19200,1.40,0.00,1,0.00,,,F
20260116,20260120,1419,タマホーム,東証,決算,20260228,3755.00,388600,15.20,0.20,1,0.20,,停止,C
20260116,20260120,141A,トライアル,東証,決算,20260630,2968.00,371900,6.00,0.05,1,0.15,,,E
20260116,20260120,1429,日本アクア,東証,決算,20260630,887.00,0,1.80,*****,*****,*****,満額,,
20260116,20260120,1431,Ｌｉｂ　Ｗｏｒｋ,東証,決算,20260331,654.00,0,1.40,*****,*****,0.00,満額,,
20260116,20260120,1433,ベステラ,東証,決算,20260131,1305.00,300,5.60,0.05,1,0.05,,停止,F
20260116,20260120,1457,ｉＦＴＰＸベア,東証,決算,20270110,2050.00,0,60.00,*****,*****,*****,満額,,
20260116,20260120,1458,楽天２２５ダブルブル,東証,決算,20260315,58610.00,0,120.00,*****,*****,*****,満額,,
20260116,20260120,1474,Ｏｎｅ・ＪＰＸ４００,東証,決算,20260708,33310.00,92,90.00,5.00,1,5.00,,,E
20260116,20260120,1479,ｉＦＭＳＣＩ人材設備,東証,決算,20260710,45960.00,54,100.00,5.00,1,5.00,,,C
20260116,20260120,147A,ソラコム,東証,決算,20260430,1226.00,16500,2.60,0.05,1,0.05,,,F
20260116,20260120,1486,上場米債ヘッジなし,東証,決算,20260710,24530.00,0,80.00,*****,*****,*****,満額,,
20260116,20260120,1494,Ｏｎｅ・高配当日本株,東証,決算,20260408,42030.00,0,100.00,*****,*****,*****,満額,,
20260116,20260120,1514,住石ホールディングス,東証,決算,20260331,644.00,113500,2.80,0.05,1,0.05,,注意,F
20260116,20260120,153A,カウリス,東証,決算,20260630,1270.00,24900,2.60,0.05,1,0.05,,,E
20260116,20260120,1545,ナスダックヘッジ無,東証,決算,20260810,41060.00,4840,100.00,0.00,1,0.00,,,F
20260116,20260120,1546,ダウヘッジ無,東証,決算,20260810,76400.00,0,160.00,*****,*****,0.00,満額,,
20260116,20260120,1547,上場米国Ｓ＆Ｐ５００,東証,決算,20260120,12050.00,41529,280.00,5.00,1,*****,,,D
20260116,20260120,1550,ＭＸＳ外株ＭＳＣＩ,東証,決算,20260608,7412.00,0,60.00,*****,*****,*****,満額,,
20260116,20260120,1554,上場インデＭＳ世界,東証,決算,20260120,6264.00,4817,240.00,5.00,1,*****,,,D
20260116,20260120,155A,情報戦略テクノロジー,東証,決算,20260630,1356.00,0,2.80,*****,*****,*****,満額,,
20260116,20260120,1560,ＮＦマレーシア株,東証,決算,20260810,6550.00,0,60.00,*****,*****,*****,満額,,
20260116,20260120,1568,ＴＰレバレッジダブル,東証,決算,20260220,821.00,437670,6.00,0.50,1,*****,,,E
20260116,20260120,1569,トピックスインバース,東証,決算,20260220,857.50,1620,6.00,0.50,1,*****,,,F
