"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/23","2026/01/27","1301","極洋","東証およびＰＴＳ",,"確報",0,300,3100,0,0,600,2500,0,1500000,15500000,0,0,3000000,12500000,,,0,0,0,102000,18000,0,6.7,6.1,7.6,6.8,5.8,7,6.4
"2026/01/23","2026/01/27","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",100,30,13460,590,0,9220,4240,384800,115440,51794080,2270320,0,35478560,16315520,,,0,0,174070,0,0,112190,14.8,12.8,84.7,22.2,14.8,8.2,10.6
"2026/01/23","2026/01/27","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",0,450,12460,12970,8100,70650,-58190,0,1715850,47509980,49454610,30885300,269388450,-221878470,,,0,0,154920,0,0,789360,5.9,4.9,3.6,4.1,8,5.7,6.6
"2026/01/23","2026/01/27","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",0,1169,7604,3213,320,20383,-12779,0,4397778,28606248,12087306,1203840,76680846,-48074598,,,0,0,96503,0,0,192390,14.4,12.5,18.4,14.9,13.3,15.2,14.2
"2026/01/23","2026/01/27","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,32,0,0,0,32,0,0,1771200,0,0,0,1771200,,,0,0,0,12480,0,0,6,3,0,6,0,0,0
"2026/01/23","2026/01/27","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",400,1100,21300,0,0,0,21300,191200,525800,10181400,0,0,0,10181400,,,0,0,0,110000,0,0,9,7.3,11.9,9,0,0,0
"2026/01/23","2026/01/27","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,0,3735,0,0,50,3685,0,0,7096500,0,0,95000,7001500,,,0,0,37350,0,0,500,15.8,9.8,509.9,19.2,0,2.5,5
"2026/01/23","2026/01/27","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/23","2026/01/27","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,3866,180,2295,11834,-7968,0,0,215374860,10027800,127854450,659272140,-443897280,,,0,0,502580,0,0,1813370,15.7,6.4,491.3,12.6,25,12.5,16.6
"2026/01/23","2026/01/27","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",2053,161,7841,2061,2878,63624,-55783,114885880,9009560,438782360,115333560,161052880,3560399040,-3121616680,,,0,0,1130310,0,0,12243790,8.2,7.5,8.1,7.8,10.9,6.7,8.3
"2026/01/23","2026/01/27","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,24,212,0,0,0,212,0,272640,2408320,0,0,0,2408320,,,0,0,0,9440,0,0,5.2,2.9,28.4,5.2,0,0,0
"2026/01/23","2026/01/27","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",1410,0,26860,0,10,1700,25160,413130,0,7869980,0,2930,498100,7371880,,,0,0,216325,0,0,14535,5.4,2.9,349.3,5.7,1.8,4.5,2.6
"2026/01/23","2026/01/27","1326","ＳＰＤＲゴール","東証およびＰＴＳ",,"確報",0,3,374,0,0,0,374,0,216660,27010280,0,0,0,27010280,,,0,0,671060,0,0,0,16.5,17.4,15.7,16.5,0,0,0
"2026/01/23","2026/01/27","1328","ＮＦ金価格","東証およびＰＴＳ",,"確報",3314,693,14266,0,0,0,14266,61988370,12962565,266845530,0,0,0,266845530,,,0,0,5240250,0,0,0,9.5,8.2,12.9,10,2.4,1.9,2.2
"2026/01/23","2026/01/27","1329","ｉＳ２２５","東証およびＰＴＳ",,"確報",1880,722,23491,0,0,0,23491,10537400,4046810,131667055,0,0,0,131667055,,,0,0,290329,0,0,0,20.7,15,80.5,25.2,351,0.2,0.4
"2026/01/23","2026/01/27","1330","上場２２５","東証およびＰＴＳ",,"確報",0,19,1668,894,578,6863,-5195,0,1064000,93408000,50064000,32368000,384328000,-290920000,,,0,0,236180,0,0,916580,8.5,7.3,7.8,7.5,8.3,9.3,8.8
"2026/01/23","2026/01/27","1332","ニッスイ","東証およびＰＴＳ",,"確報",100,1200,24900,0,7500,1600,23300,123000,1476000,30627000,0,9225000,1968000,28659000,,,0,0,338000,0,0,118300,4,6.9,7,7,1.2,1,1.1
"2026/01/23","2026/01/27","1333","マルハニチロ","東証およびＰＴＳ",,"確報",0,700,16600,0,1200,0,16600,0,976500,23157000,0,1674000,0,23157000,,,0,0,0,0,0,0,6.7,5.9,9.6,7.3,1.3,1.1,1.2
"2026/01/23","2026/01/27","133A","ＧＸ超短期米国債","東証およびＰＴＳ",,"確報",0,0,23309,0,1,0,23309,0,0,24963939,0,1071,0,24963939,,,0,0,0,23309,1,0,5.9,3,699.7,6,3,3,3
"2026/01/23","2026/01/27","1343","ＮＦＪ－ＲＥＩＴ","東証およびＰＴＳ",,"確報",12430,0,166810,140,0,32260,134550,26973100,0,361977700,303800,0,70004200,291973500,,,0,0,0,1157850,240900,0,13,9.5,19.3,12.7,15.8,12.8,14.1
"2026/01/23","2026/01/27","1345","上場Ｊリート","東証およびＰＴＳ",,"確報",200,1000,5400,0,0,0,5400,405900,2029500,10959300,0,0,0,10959300,,,0,0,15500,0,0,0,4.2,2.9,8,4.2,0,0,0
"2026/01/23","2026/01/27","1346","ＭＸＳ２２５","東証およびＰＴＳ",,"確報",6,1,1580,100,30,3254,-1674,333660,55610,87863800,5561000,1668300,180954940,-93091140,,,0,0,189000,0,0,382080,15,1125.6,40.8,78.8,10.4,10.3,10.3
