"申込日","決済日","銘柄コード","銘柄名","取引所区分名","上場区分","速報／確報","融資新規株数","融資返済株数","融資残高株数","貸株新規株数","貸株返済株数","貸株残高株数","差引残高株数","融資新規金額","融資返済金額","融資残高金額","貸株新規金額","貸株返済金額","貸株残高金額","差引残高金額","制度信用・買残高株数","制度信用・売残高株数","融資権利落額","貸株権利落額","合計・更新差金融資値上り","合計・更新差金融資値下り","合計・更新差金貸株値下り","合計・更新差金貸株値上り","総合回転日数","融資・新規回転日数","融資・返済回転日数","融資・残高回転日数","貸株・新規回転日数","貸株・返済回転日数","貸株・残高回転日数"
"2026/01/09","2026/01/14","1301","極洋","東証およびＰＴＳ",,"確報",700,0,3100,0,0,500,2600,3465000,0,15345000,0,0,2475000,12870000,,,0,0,72000,0,0,15000,11.3,10,43.3,16.3,3.1,5.5,4
"2026/01/09","2026/01/14","1305","ｉＦＴＰＸ年１","東証およびＰＴＳ",,"確報",110,100,10510,630,0,9950,560,410410,373100,39212810,2350530,0,37123450,2089360,,,0,0,399000,0,0,354160,54.4,139.5,25.2,42.7,49.8,197.2,79.5
"2026/01/09","2026/01/14","1306","ＮＦＴＯＰＩＸ","東証およびＰＴＳ",,"確報",1030,0,14600,4670,22850,75320,-60720,3800700,0,53874000,17232300,84316500,277930800,-224056800,,,0,0,474950,0,0,3272500,8.4,35.8,15.3,21.5,7,8.4,7.7
"2026/01/09","2026/01/14","1308","上場ＴＯＰＩＸ","東証およびＰＴＳ",,"確報",1608,3644,11545,301,74,11545,0,5865984,13293312,42116160,1098048,269952,42116160,0,,,0,0,502497,0,0,418766,4.9,3.7,5,4.3,4.8,6,5.3
"2026/01/09","2026/01/14","1309","ＮＦ中国株上証５０","東証およびＰＴＳ",,"確報",0,0,1,0,0,0,1,0,0,56300,0,0,0,56300,,,0,0,1000,0,0,0,0,0,0,0,0,0,0
"2026/01/09","2026/01/14","130A","ＶＩＳ","東証およびＰＴＳ",,"確報",1200,0,15500,0,0,0,15500,562800,0,7269500,0,0,0,7269500,,,0,0,85800,0,0,0,16.4,15.9,16.9,16.4,0,0,0
"2026/01/09","2026/01/14","1311","ＮＦＴＰＸ３０","東証およびＰＴＳ",,"確報",0,0,2010,50,0,58,1952,0,0,3670260,91300,0,105908,3564352,,,0,0,0,0,0,0,39.2,1099,34.3,66.6,2.6,3.9,3.1
"2026/01/09","2026/01/14","1319","ＮＦ日経３００","東証およびＰＴＳ",,"確報",0,0,1000,0,0,0,1000,0,0,655000,0,0,0,655000,,,0,0,0,0,0,0,8,4,0,8,0,0,0
"2026/01/09","2026/01/14","1320","ｉＦ２２５年１","東証およびＰＴＳ",,"確報",0,0,2356,433,865,14385,-12029,0,0,126493640,23247770,46441850,772330650,-645837010,,,0,0,1814120,0,0,11409090,16.3,12.7,0,25.4,13.7,18,15.6
"2026/01/09","2026/01/14","1321","ＮＦ日経２２５","東証およびＰＴＳ",,"確報",121,304,5387,11794,65,91533,-86146,6526740,16397760,290574780,636168360,3506100,4937290020,-4646715240,,,0,0,4678800,0,0,67035360,8.4,2.1,1.8,2,10.3,13.1,11.5
"2026/01/09","2026/01/14","1322","上場パンタ","東証およびＰＴＳ",,"確報",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
"2026/01/09","2026/01/14","1325","ＮＦブラジル株","東証およびＰＴＳ",,"確報",100,30,390,0,0,0,390,26300,7890,102570,0,0,0,102570,,,0,0,1248,0,0,0,9.7,12.9,8.4,10.2,1,1,1
